time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2024-06-14 21:16:12,axfer,,,USDC,0.1,,,IK6QVAIUNAK5JVNWO6YJDBIYKIQNAF4OZGJP4AL4H52U2V4Y6JPQ,Receiver,262QOWZ...
2024-06-14 21:26:5,axfer,,,USDC,0.05,,,AV7HEQ5J7J74NNPOQDSYITB5MNRFMF7L34Q7CFH52ISNUFXUMBCQ,Receiver,ZG54ZBZ...
2024-06-14 22:05:17,axfer,,,USDC,300000000.,,,V4AQYTHRZ5AQK33OBQU4YNIJ54Y5FJNIEUQ3UMGA33AV4PHKZIZQ,Receiver,2UEQTE5...
2024-06-14 23:09:09,axfer,USDC,1.,,,ALGO,0.001,JXO5AG4C2CK4AU3PZ2LDPA2W6IGL7UTKZQK2NTT3ZHAUJHMD25HQ,Sender,6YYNPQS...
2024-06-14 23:14:17,pay,,,ALGO,0.000097,,,(Group- nW+TH...) - C6G6ZMTUMX6XPBZ6TSQYXVFL2O5SHEBRQ2NDZLDOAKNH3TIV67DA,1 txns.  ,ZD6JXLR...
2024-06-14 23:14:23,pay,,,ALGO,0.000013,,,(Group- 0/VJR...) - HW4EZMT37KH6I6RCICVDHKTJL2QLJGSM36WW72BZQPZH4KOYUZPA,1 txns.  ,WARN666...
2024-06-14 23:15:23,axfer,USDC,993270.408228,,,ALGO,0.001,A4UAVMJZ5KXYNT3G2TVWQY5ZMDVCYDKE5S3IFJPEKN6GBX4W7XSQ,Sender,6YYNPQS...
2024-06-14 23:20:24,pay,,,ALGO,0.000073,,,(Group- XPBxI...) - 73DZVNK7QDEH4FFLJPUZHNOQGDG3BKK2WWAKDEARVGVERAFWIGRA,1 txns.  ,IIKTQHZ...
2024-06-14 23:20:26,axfer,,,USDC,0.05,,,LV74FE4TA6OOYS4COP72F43CXJZY4V2XRLVNXBAA3YV4TUJSTGDQ,Receiver,6YYNPQS...
2024-06-14 23:20:5,pay,,,ALGO,0.000013,,,(Group- ytDDf...) - TLWGODS6TZ2HYD5J2AQI3VFCAZAU3GFYUXGSS62S4TYUTC6XEJOQ,1 txns.  ,WARN666...
2024-06-14 23:23:21,axfer,USDC,7808455.01,,,ALGO,0.001,NQKIOXKSNVT6XZ37OKELUDSGBBTUOPDJZ4XIOOJUP5RKSTS7CETQ,Sender,6YYNPQS...
2024-06-14 23:26:08,axfer,USDC,3562189.65,,,ALGO,0.001,SUKOMPDMNLNFNEB2UHNIIW52AGXMK6XD7DQF7XVDVNOW3GZHOYWA,Sender,6YYNPQS...
