time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2024-06-11 01:49:18,pay,,,ALGO,0.2,,,7YZDQOHS3UXI57BKMM5Y2HE6D77PS4VDF5L6JNKVTW2ZS2ZT7GLQ,Receiver,N7EKC7T...
2024-06-11 05:28:07,pay,,,ALGO,0.2,,,CETMMPJT6PB6R774RPVDIGQSHLXGGG3BYZ3HRPUFBEEQAQCWJITQ,Receiver,N7EKC7T...
2024-06-11 05:28:2,axfer,USDC,0.,,,,,NK5E2UEZSVILQWXJ6YSPPRQC4FZP64UTZ624PFJNTVYZPDNTR22Q,Asset Opt in/out,
2024-06-11 05:32:29,axfer,,,USDC,0.1,,,45CKJF4NRXXK4SJCGH5B5LXAFDEPRLXUKAIGWUT7ZKDWUPW3S7JQ,Receiver,E2ROUAC...
2024-06-11 05:32:4,pay,,,ALGO,0.001,,,(Group- ClK+X...) - G6TLQDNN4INSICLUFZ22EGACTB3EOMRXH7NJGXRD6XL2QOS6Z6SA,2 txns.  ,E2ROUAC...
2024-06-11 05:32:4,axfer,USDC,0.1,,,ALGO,0.001,(Group- ClK+X...) - UQUULLSSX3IOPZ4XWQNADGDHELGZAXMPE7JO6XTO2J5JAIGHLBEA,2 txns.  ,E2ROUAC...
2024-06-11 05:33:35,pay,,,ALGO,0.000059,,,(Group- gGDpd...) - QYX7F5CEY3DQHRPHBUIPKFKOIOU3SHJMC6W7X22JCJYOBFLVHHMA,1 txns.  ,3RAUAIC...
2024-06-11 05:33:44,pay,,,ALGO,0.000013,,,(Group- wmeSw...) - 55YSDTD7JEOKYIF32VISEQMT5G4MRKPBUTTHO7GNRLWWBNZZAI6A,1 txns.  ,WARN666...
2024-06-11 05:37:4,pay,,,ALGO,0.000089,,,(Group- ZAIuW...) - BOWVJG6RSCGTTJS2FNAW5UQMCW4B7U56MURK3OPTPSPCL2PNCRHA,1 txns.  ,L4KQ3L4...
2024-06-11 05:38:06,pay,,,ALGO,0.000013,,,(Group- 81fiS...) - PSE5FJWRW5SZH2XEKREQYFSQA6AJ3NX7VOXPAF4IU3LQ4FLIJZJQ,1 txns.  ,WARN666...
2024-06-14 01:01:55,pay,,,ALGO,87.664101,,,AFCHSULK6SNF4THOSZ5O3YMRE7V3UFHDDPI2ZD7R2XVVY6E56DAA,Receiver,E2ROUAC...
2024-06-14 02:10:1,axfer,,,USDC,1.,,,BHI7GAFEKYBIMKXK6LYAWMQJDUQA5GO6X5WAMYV65LEM7PEKIE6Q,Receiver,SO6ZNE2...
2024-06-14 02:36:15,axfer,,,USDC,100.,,,RR45YGQDE3CD52OONOUYY6BKVKYKDDZBVXH36R46OY3EPRFKRJGQ,Receiver,SO6ZNE2...
2024-06-14 02:39:03,pay,ALGO,0.201,,,ALGO,0.001,(Group- csgbF...) - 6LHLAV3OV3DRUPIZFTVYXHSENZR2T6HWD6GXLPOQDG2ZLOWOAVMQ,1 txns.  ,WBWLB3Q...
2024-06-14 02:44:03,axfer,USDC,0.1,,,ALGO,0.001,N2EDBQ3PITY4MTK24PBNK5IPC35PZHIVD6PF6E7PJ2S4EYXDF2ZQ,Sender,2UEQTE5...
2024-06-14 02:49:12,pay,,,ALGO,0.000097,,,(Group- wC6f+...) - FCYUGCIK5ZPJKAVCV2ZPSSK7CD33Q4Z275TLEWBGKSIBFPP5WMJQ,1 txns.  ,HEGP2JR...
2024-06-14 02:49:27,pay,,,ALGO,0.000013,,,(Group- kwy91...) - H7HHEGMBXZBZ56RRUDRPUZEJ6SPRZS6GCJ24T3S4GCEX4LTSUFQQ,1 txns.  ,WARN666...
2024-06-14 03:07:36,axfer,USDC,5.,,,ALGO,0.001,4RDTAGKOWM5HQMZUJNEBLUJGIXBUCWLDCEVGRDVUJJH4I7DFJZQA,Sender,2UEQTE5...
2024-06-14 03:12:42,pay,,,ALGO,0.000096,,,(Group- iHDnS...) - 5SCXIBXY6YB3XUWIGW7QCBQZ2YJFMEPNXUSQ57KX7N52YCUA5XEQ,1 txns.  ,2TZQGMP...
2024-06-14 03:12:51,pay,,,ALGO,0.000013,,,(Group- dzFuy...) - EHLT5MIT4P7MNOU7U23P3MDBL56TIF4U2AXWYFTAT63F2J64ZP7A,1 txns.  ,WARN666...
2024-06-14 21:16:12,axfer,USDC,0.1,,,ALGO,0.001,IK6QVAIUNAK5JVNWO6YJDBIYKIQNAF4OZGJP4AL4H52U2V4Y6JPQ,Sender,OSS3CEB...
2024-06-14 21:21:11,pay,,,ALGO,0.000056,,,(Group- x3heB...) - XI52ZGIV2RUU2NZIFWTCWTT73OLFHJ3U25Y4GJHYPOUKMCYQVRDQ,1 txns.  ,4DBNUQN...
2024-06-14 21:21:17,pay,,,ALGO,0.000013,,,(Group- hOvBV...) - VKVKIOB266VK44XNUY5SOVRCQWJTM2X4CBJY2IBU4J3XQH3NGR5A,1 txns.  ,WARN666...
