time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2020-11-03 02:44:08,pay,ALGO,0.201,,,ALGO,0.001,(Group- qM9kj...) - D5V5T75MI42GZ7BMLZNAU6FLYBURDC6HXHKTYKITNQE7ONHJHCSQ,1 txns.  ,JUFHAQA...
2020-11-03 03:30:08,pay,ALGO,0.201,,,ALGO,0.001,(Group- WgSco...) - ZBERA37LDNS47UXCDTDNNLVSZKAGUBBHXKFE6CPWEUSY2NV7IEAA,1 txns.  ,43TOT5T...
2020-11-03 04:01:01,axfer,USDC,0.051263,,,ALGO,0.001,GE32EPLCO2X726KFOPSXJYPJQOGIEZH4DZLBBDPFWRKVHPLTXTLQ,Sender,2UEQTE5...
2020-11-04 00:31:07,axfer,,,USDC,1.023062,,,WLX7VBRGHLZD3DZ73VTD27ZLH2LTQC3QTWR25IG5VRQIBUIUHNFA,Receiver,2UEQTE5...
2020-11-04 00:43:03,axfer,USDC,0.005115,,,ALGO,0.001,DIHIF6RIPRZSOJVCSWDIWO7P6PRLN247CDBINQISX3VLMGVKSCIA,Sender,2UEQTE5...
2020-11-04 03:50:56,axfer,USDC,0.99,,,ALGO,0.001,4EEJSFWQCRQVEQZLCHVINOO2CLEVZA5ZRERZLBUOKUSMOBH67PRQ,Sender,2UBI6A7...
2020-11-04 03:51:09,pay,ALGO,0.001,,,ALGO,0.001,(Group- nHwX6...) - 6MWACFMWQMK4435OKR3RIKZEZDLS3KWW6OJGZIMGMO5EUYS5ZKPA,2 txns.  ,2UBI6A7...
2020-11-04 03:51:09,axfer,,,USDC,0.99,,,(Group- nHwX6...) - SBCVNTRZJWYENOFYOC32BIAPO5H4KDUZ65MQHXY5Q2RMDJJZC4IA,2 txns.  ,2UBI6A7...
2020-11-04 03:51:26,axfer,USDC,0.005056,,,ALGO,0.001,RHEYCTYFNVOOD7KMP3GYMWRDOXSCDS5SSEYFX3I6KZNZT6K3KWBA,Sender,2UEQTE5...
2020-11-04 21:33:38,pay,ALGO,0.201,,,ALGO,0.001,(Group- /VVKa...) - FZXUWIGCS6YQ44WBFSCUEBVTNFLSGYD3LDHLEWHIHYQ5UOORJE7Q,1 txns.  ,46W63NR...
2020-11-04 21:34:17,axfer,USDC,0.49,,,ALGO,0.001,XJ6KC7YSTI77O5UF4YKFAH6UZCRPNMKQJBWF5CIZX62CCHFXM6EQ,Sender,43TOT5T...
2020-11-04 21:34:34,pay,ALGO,0.001,,,ALGO,0.001,(Group- bmOMG...) - 6TBY3NID2JQPGFXRZG43MLIPDSXPVNU7G55RJFHX2I42JNE6J74Q,2 txns.  ,43TOT5T...
2020-11-04 21:34:34,axfer,,,USDC,0.49,,,(Group- bmOMG...) - JIJRF7SSL2R77HG7Y3E6JOCKHLXSG32BXICAVBMMXIAEIHN6KGCQ,2 txns.  ,43TOT5T...
2020-11-04 21:35:22,axfer,USDC,0.005066,,,ALGO,0.001,GFH2SNMSDHQPJXJ6J5LTYKZU5DSSL2DHXXTOPOJZMJFCY2V36RCQ,Sender,2UEQTE5...
2020-11-05 02:48:06,axfer,USDC,0.005075,,,ALGO,0.001,RCUVYXVH33WZ3NEFTWE5E2DFOII5VGRSUASRINLB5BFPFMJ5Z2QQ,Sender,2UEQTE5...
2020-11-05 06:02:08,axfer,,,USDC,1.019079,,,LC4RIF7EBZSH5XEB5CR5KTJYXEZ4LPBN3LUCGTDVA2NDCNX6GQWA,Receiver,2UEQTE5...
2020-11-05 06:08:17,axfer,USDC,1.99,,,ALGO,0.001,UYRQN42O7B6OOZVSCZBN74EU3W74GZ7M7I5Z3XRVSXKVVTWKM77A,Sender,JUFHAQA...
2020-11-05 06:08:3,pay,ALGO,0.001,,,ALGO,0.001,(Group- EOudr...) - DOXSUZCM7K2O4ISAZYER7N4UKBNWCDUHBKS6Z7JLU3HY3FYDGWKQ,2 txns.  ,JUFHAQA...
2020-11-05 06:08:3,axfer,,,USDC,1.99,,,(Group- EOudr...) - 4AKLS7C3LEPBEMX5P3H544WEU4Y7KCZO6I3AMQMYX74NQWAFMPEA,2 txns.  ,JUFHAQA...
2020-11-05 06:09:23,axfer,USDC,0.005076,,,ALGO,0.001,Q2EYAI5TAOLVBAMFF3DSADKGGLXYPOYD7OV625P2YDATXC5PRFBQ,Sender,2UEQTE5...
2020-11-05 22:51:,axfer,USDC,1.019079,,,ALGO,0.001,LOS55PYPBYHE5ZFGRFV4WBX6443LG7OZSV2MYDQ2YU664KBRQMIA,Sender,2UEQTE5...
2020-11-11 01:05:43,axfer,USDC,0.03,,,ALGO,0.001,DFE4BVO4F3G5IR7BTEQYBQH2UKYIVN4U3R2VPZIVTKT7RMQ5LJPQ,Sender,2UBI6A7...
2020-11-11 01:06:01,pay,ALGO,0.001,,,ALGO,0.001,(Group- 19iNf...) - AACKOT3JNHXT5MLUZDLYHU7TEVVWW6PB6DIXQR7QTEBX5ZW7N4YA,2 txns.  ,2UBI6A7...
2020-11-11 01:06:01,axfer,,,USDC,0.03,,,(Group- 19iNf...) - 2SJTG2IOQK3KHHKZF4ZOGVGWBBXJCV4YTPLZGIHRC6ZKCRCXUZJQ,2 txns.  ,2UBI6A7...
2020-11-11 01:06:27,axfer,USDC,0.01019,,,ALGO,0.001,MDVLDLJZCBKHBRKOCGOHMNRV72JJ6LMWUE2S26PWCHJLKVBJUCHA,Sender,2UEQTE5...
2020-11-11 23:47:52,axfer,USDC,0.08,,,ALGO,0.001,YZVNHRKBS7T2XTFZFW2V2RK7Q5FRJQQEY6IFONTS6L3HAY2TB4PA,Sender,2UBI6A7...
2020-11-11 23:48:09,pay,ALGO,0.001,,,ALGO,0.001,(Group- /LO7X...) - CKIJOKYLSQCRRWJGNBX7IYOOOOFXG37QZRSKWE62TI6PZTKB23OQ,2 txns.  ,2UBI6A7...
2020-11-11 23:48:09,axfer,,,USDC,0.08,,,(Group- /LO7X...) - JS32NCV6HOEA2IUINFQN3DXXKYGLBNHLK4RVDIR4GDXDG2WD3YIA,2 txns.  ,2UBI6A7...
2020-11-11 23:48:45,axfer,USDC,0.010188,,,ALGO,0.001,GPY3IQ3YQDYEUNNVE2T3VB42BT53MA5KCEEFY6BIQXWFKJ6YKIWQ,Sender,2UEQTE5...
2020-11-13 02:33:41,axfer,USDC,1.008889,,,ALGO,0.001,SBDWCHR356CA3SPIVNCQ6WLRKBMCPPA55INZE3GX2O3ZZZLDZGRA,Sender,2UEQTE5...
2020-11-13 12:41:53,axfer,USDC,0.005095,,,ALGO,0.001,H6SB46ZS5D6M4KXTWD2D7XM35UUEYYYVRJVUD5SCBN4ALBJKZOPA,Sender,2UEQTE5...
2020-11-13 13:03:1,axfer,USDC,0.01,,,ALGO,0.001,UWXVO3S3CVGR2F6VJEOYNNSHAGHL4G3OXRGRPHZQQZN5I2VOZCUQ,Sender,2UBI6A7...
