time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2024-03-15 23:03:5,pay,,,ALGO,0.5,,,NYPZW45ULTTQCK6LXFL3MOXJL47UYB7NYE3EME3Y7MYSAZEHP76Q,Receiver,S7QLKPL...
2024-03-15 23:06:3,axfer,USDC,0.,,,,,U76M4SPTYPI3UN2ENZLVPI4DBB5C3RWB4BTGFCV4WFKHS2TQKTWQ,Asset Opt in/out,
2024-03-19 00:44:55,axfer,,,USDC,10.,,,XNTFK37CRT2ILMN73NED7JEF74MGNE7ARHIUSADNJLVSV3C5HAMQ,Receiver,ROXJBRU...
2024-03-19 02:22:04,axfer,USDC,10.,,,ALGO,0.002,LRQH65B5TEJUKYL2INDGIJKG5W2SABUABV2O466QLONAOCGXLO5A,Sender,LWUWBZP...
2024-03-19 02:27:03,pay,,,ALGO,0.000078,,,(Group- QFwOD...) - UXPIGNF2YXQ6PJKRGVVWQAS6D46OCEJ52JRHMON4MHK3E7NJ2YXA,1 txns.  ,KYCGOVN...
2024-03-19 02:27:08,pay,,,ALGO,0.000013,,,PPQT6O5ORZB7KVRASVKINN4EZYKZ4EXQRZDAI4AGXYQZ4QMG6FKQ,Receiver,WARN666...
2024-06-05 05:03:2,axfer,,,USDC,3.,,,RXMAZUZ2ZL5JYYTBDP6ME6NRPRYTHSB3FLPSZ5N6NOD7AEG6S6TA,Receiver,ZG54ZBZ...
2024-06-05 05:04:04,axfer,USDC,3.,,,ALGO,0.002,27XSDFWHYR57GHSVCS45N54OGUISYP6NGVR3BQZ5454YVPLHJ3AQ,Sender,LWUWBZP...
2024-06-05 05:09:04,pay,,,ALGO,0.000055,,,(Group- m+iZC...) - PTLJ7GMQS7ZMSIZ2AFNWR6IKNJYMJCV22U37T6XL2A4J3AF44NQA,1 txns.  ,BJTNWNU...
2024-06-05 05:09:1,pay,,,ALGO,0.000013,,,SAWLMXHYDU7MCQPUAMG4JZ5G2F7F6EC46ZLTKR4TFYVBVY4CPE6Q,Receiver,WARN666...
2024-06-15 00:21:12,axfer,,,USDC,10000.,,,57TNGFFBYUUA5T635TCK25P3EISA6M2CYSXC43OUK46OQWOYLNDQ,Receiver,6YYNPQS...
2024-06-15 00:22:04,axfer,USDC,10000.,,,ALGO,0.002,HAZH5JYIHOCPOJW6U5ZV3WC2VNRO2PQKX345WIME65ZPMOPHW7GQ,Sender,LWUWBZP...
2024-06-15 00:27:05,pay,,,ALGO,0.000075,,,(Group- YGUol...) - AXL36NAHBZZDPNXBMZNK2WIKC2DLOFVFH7SHVP27YN56AI6NQ7BQ,1 txns.  ,BXAOVGU...
2024-06-15 00:27:25,pay,,,ALGO,0.000013,,,(Group- 81q7i...) - J2Q7TJTLXNBBU2MXZPKS753RKJYHAP5EXVYWBHIJFF4NJ6N7N5SQ,1 txns.  ,WARN666...
2024-06-15 00:36:36,axfer,,,USDC,1490000.,,,EC2FPAYMM3DPUJPFLQBPXHXU4OQVM5WCV72C4SPEATRLDLZWWCTA,Receiver,6YYNPQS...
2024-06-15 00:37:01,axfer,USDC,1490000.,,,ALGO,0.002,Y77ZAX6DKIVY3UGOO2KOUONWTWRZ2NXH33FS66OJFNVWYUCQ4JAQ,Sender,LWUWBZP...
2024-06-15 00:42:23,pay,,,ALGO,0.000065,,,(Group- NZz/Z...) - 44KJTVF345Z6VS77HZQCRVGFU4P4N4VC57W3XQJOZUK453G75TMQ,1 txns.  ,4DBNUQN...
2024-06-15 00:42:37,pay,,,ALGO,0.000013,,,(Group- aQ9q4...) - LS56H7IKW5FEFA74M56QRAKJKEJJF6IFX3RYKMP2UTGAMJAEYZ3A,1 txns.  ,WARN666...
