time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2023-04-18 16:10:06,Receive,,,ALGO,25.,,,OMBBPHQGVZ7NPDR37YONFD2BBRE7LFKURZR3NONYMMUXDCBXE6BA,Receiver,HSY2V6IMWVOTZB6I6X7DULB7VD6N7MU65QQMN4TVOJCJ4K2DD2KN2J6ZIU
2023-04-21 17:49:42,Receive,,,ALGO,147.,,,CICN3XBQZSSVO47PQ5XTZSWGV5QZFSW6RBMPHQUL2VBBY2CAIYBA,Receiver,F4MY7F4A3RNJT3UEX7JU6QKDB5VGYVGGXBLQVMRHJRBLR3YESFEOORNWHA
2023-04-21 17:51:25,Send,ALGO,0.715,,,ALGO,0.001,(Group- uU/Uu...) - APBY3A7VTYJDHQRREFJM5CDKWHJFFOTJB3TCX2XUR6F5ZHK5FOTA,2 txns. Algofi : Lending Market v2 : Initialize Account ,EKQ3ZDVC4ZQB3H2O6OUUVB6HOBQXCQJYEXZW6VBKEK6WEDI2CWZGL7KKAY
2023-04-21 17:51:25,Fee,,,,,ALGO,0.001,(Group- uU/Uu...) - O6YXT6MGB62JAI6P457243JGY7NA4S5NW6PZTYF3XHSTCIIJOFHQ,2 txns. Algofi : Lending Market v2 : Initialize Account ,Algorand Network
2023-04-21 17:52:06,Send,ALGO,0.471,,,ALGO,0.001,(Group- 2ZbXR...) - BZKF6F7DUK4IPMK5HGA6AMR75DOKVX2GJ2G4XI4URLZ23MTT7ESA,3 txns. Algofi : Lending Market v2 : Initialize Account ,EKQ3ZDVC4ZQB3H2O6OUUVB6HOBQXCQJYEXZW6VBKEK6WEDI2CWZGL7KKAY
2023-04-21 17:52:06,Fee,,,,,ALGO,0.001,(Group- 2ZbXR...) - KMZVE76ZMQSKQXE67LYQGMHCXNIBA3HA4JZOOMNDRSATA7ZKXHEA,3 txns. Algofi : Lending Market v2 : Initialize Account ,Algorand Network
2023-04-21 17:52:06,Fee,,,,,ALGO,0.002,(Group- 2ZbXR...) - TIXGR47HKDPK3IU54SUCQKJ7DVFUZ37Q27DFZTISDUFAIFRLK4EQ,3 txns. Algofi : Lending Market v2 : Initialize Account ,Algorand Network
2023-04-21 17:52:28,Fee,,,,,ALGO,0.001,(Group- HMqbc...) - 3VQN4DHCF734AH63MKAP4XF3EKOEGBCTEVELKVIKTTX6GYQBYOEA,Asset Opt in/out,Algorand Network
2023-04-21 17:52:28,Send,ALGO,80.,,,ALGO,0.001,(Group- HMqbc...) - DK2S4IMNALTHAP7DKVZHL63RXOWQONECVCXTQVUSYBGSAYDRAVRQ,3 txns. Algofi : Lending Market v2 : Add to Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-04-21 17:52:28,Fee,,,,,ALGO,0.002,(Group- HMqbc...) - IFVOIKUTGXWQAPEQCBE354BAJSNVDTNDIBRI2PXVGZE4OU463YGA,3 txns. Algofi : Lending Market v2 : Add to Collateral ,Algorand Network
2023-04-21 17:53:13,Send,ALGO,0.35,,,ALGO,0.001,(Group- 1CCxQ...) - KIKLGJLSCFPY66CZ7KQ4BXN7FA2FWRW45AYJF5APR6HCFRDAEFPA,5 txns. Folks Finance : Folks Finance v2 : Deposit ,MCZWZ7C4FHQWEKNNYDLQP33ZXNLFUQVEZUAJZ7C2HXMFKVEMA43AU4FPMU
2023-04-21 17:53:13,Send,,,,,ALGO,0.002,(Group- 1CCxQ...) - NL4MDCBWUQSAXPZ2HE2EWLWMDZTCHD5VQOKR5HCOZDMZO4CNXCDQ,5 txns. Folks Finance : Folks Finance v2 : Deposit ,NWLEBGQX3OYPYVMI6DVGRLW7WVWX7BR5MA4JOEYUCATNLC2UCUQ6TOVD6Y
2023-04-21 17:53:13,Fee,,,,,ALGO,0.002,(Group- 1CCxQ...) - X6UYKPDOWX4ZIB6RH2VUIZ7IBMHCBWPVP676Z3LAUBRJDC6XZT2A,5 txns. Folks Finance : Folks Finance v2 : Deposit ,Algorand Network
2023-04-21 17:53:13,Send,ALGO,80.,,,,,(Group- 1CCxQ...) - 2OAX2ZNGAZIH7YEEBYR4HSQ34E5UZTYQR5OMNTOWRZ7OVKM6UOAA,5 txns. Folks Finance : Folks Finance v2 : Deposit ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4
2023-04-21 17:53:13,Fee,,,,,ALGO,0.004,(Group- 1CCxQ...) - 4Q4MCOVINVTFHV7XBKPOAO2R7IP62UTTK466CIITXXNTSGPJGQ3A,5 txns. Folks Finance : Folks Finance v2 : Deposit ,Algorand Network
2023-04-22 09:51:38,Receive,,,ALGO,175.,,,KLN2B7W66HTE2MRNSMDFM7GUPPXMNEHGSV6E2MMTLECYPDBBKVIA,Receiver,F4MY7F4A3RNJT3UEX7JU6QKDB5VGYVGGXBLQVMRHJRBLR3YESFEOORNWHA
2023-04-22 10:27:26,Fee,,,,,ALGO,0.001,(Group- EEI24...) - OTYFCBDA3PYZWOVGTJLVMHLGGEFQ2AQCXRCUUHYYUEHXDKNTDWTQ,3 txns. Folks Finance : Folks Finance v2 : Deposit ,Algorand Network
2023-04-22 10:27:26,Send,ALGO,90.,,,,,(Group- EEI24...) - TM3Q2DDNAA5CD74JKJUOESMDUYNYRQKSHLRCYNHDJYNQQRVLMRVQ,3 txns. Folks Finance : Folks Finance v2 : Deposit ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4
2023-04-22 10:27:26,Fee,,,,,ALGO,0.004,(Group- EEI24...) - UBCMJMDZ7IV5RLN5VM24ORV5TZVDRMJJ6TY6UBKH2GF4JMBK3T7Q,3 txns. Folks Finance : Folks Finance v2 : Deposit ,Algorand Network
2023-04-22 10:28:14,Send,ALGO,90.,,,ALGO,0.001,(Group- H71DS...) - D4PRQYPPKQT3GIQAY5STUUXAB3V3WLKFZ7ZMY6PVV7ATAF5NQ2XA,2 txns. Algofi : Lending Market v2 : Add to Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-04-22 10:28:14,Fee,,,,,ALGO,0.002,(Group- H71DS...) - QETEMR7GZKHBT62OV4URSTRZ3GPEPUJVRDDZAVDHKU7FKZTRKASA,2 txns. Algofi : Lending Market v2 : Add to Collateral ,Algorand Network
2023-04-23 15:08:28,Send,ALGO,1.001,,,ALGO,0.001,2QYDLKRFGBG4ITDH7FGT7Q7DE2JG6LPWIPPQTFXOLXFCKT3VO65A,Sender,TESTCHKUDKKCRXQFNVIPI7YAXCABI43343N5MHPZDSPKG365VGLNAKQ3HY
2023-04-25 11:11:52,Fee,,,,,ALGO,0.004,(Group- l4aya...) - 44JVTQBKZ7S6NV75KN27WFP3SEXKXIPBEE6W7MIROCYLQX7XDYAQ,1 txns. Algofi : Lending Market v2 : Remove Collateral ,Algorand Network
2023-04-25 11:11:52,Receive,,,ALGO,10.000002,,,(Group- l4aya...) - InnerTxn - 44JVT...,1 txns. Algofi : Lending Market v2 : Remove Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-04-25 11:12:25,Send,ALGO,10.,,,ALGO,0.001,L4SOXI7TDHIXSUEAFWPFWETDYANOBF4AONZ4PNMLYGAQM2PRDJ2Q,Sender,TESTCHKUDKKCRXQFNVIPI7YAXCABI43343N5MHPZDSPKG365VGLNAKQ3HY
2023-04-27 18:29:50,Receive,,,ALGO,6.173,,,FM3DPD32LJEWBGTUHXW7ZJUV43ISJKIC7M6NPTFN3QD4WQI5YKXA,Receiver,TESTPHIZRBL47D27FUCLKUDKGI4MXK62WMRNIE76SY6UPXAZKDSLLGJ3Y4
2023-04-28 06:25:23,Send,ALGO,5.,,,ALGO,0.001,F22I3MYEC2ISNM5RSMWR2LPSYINP4CAP4YDSMHXO5FVACXHNKGOQ,Sender,TESTPHIZRBL47D27FUCLKUDKGI4MXK62WMRNIE76SY6UPXAZKDSLLGJ3Y4
2023-04-28 06:50:33,Receive,,,ALGO,1.108,,,(Group- HXPXE...) - KIWVYK2GTHRGRDJTSPC66HFEB6HZKHRLA6DHARHAZJHVOWPYMRAQ,1 txns.  ,HSY2V6IMWVOTZB6I6X7DULB7VD6N7MU65QQMN4TVOJCJ4K2DD2KN2J6ZIU
2023-04-28 06:51:07,Fee,,,,,ALGO,0.001,(Group- nJpIR...) - LALPHW5XT37XKXE6SMH2CPK3ISGW6EVMJCUOKG6O75UAHHIE4GAA,Asset Opt in/out,Algorand Network
2023-04-28 06:51:07,Send,ALGO,1.,,,ALGO,0.001,(Group- nJpIR...) - SKX7ELZHZEQVPT527BXAR3OKQXDAAWVAPP7ZY3BNE7QSZJIBOEYQ,3 txns.  ,6JMLVJO4XFFRZFN3GTKAGBI6PCY5BJGV5JS4WM3PIBUJHVU4EZGVVS42IA
2023-04-28 06:51:07,Fee,,,,,ALGO,0.007,(Group- nJpIR...) - SMXVQ4KU4SG5Q4HAXR5S35EJDHCGDBZPWWDPJIRJWUEVRLBWHOQA,3 txns.  ,Algorand Network
2023-04-28 06:51:07,Receive,,,NFD,1.,,,(Group- nJpIR...) - InnerTxn - SMXVQ...,3 txns.  ,6JMLVJO4XFFRZFN3GTKAGBI6PCY5BJGV5JS4WM3PIBUJHVU4EZGVVS42IA
2023-04-28 07:02:45,Fee,,,,,ALGO,0.004,(Group- yAumQ...) - LED2MBST4EA5ST4IDHFGFC53WNJXNJTLPPQU57FO56AXW4XA3XDQ,1 txns. Algofi : Lending Market v2 : Remove Collateral ,Algorand Network
2023-04-28 07:02:45,Receive,,,ALGO,150.00003,,,(Group- yAumQ...) - InnerTxn - LED2M...,1 txns. Algofi : Lending Market v2 : Remove Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-04-28 07:10:15,Fee,,,,,ALGO,0.001,(Group- 0Ev+R...) - JLYQ3ZEUORW7W3DO2UYLUS7PUACLAKFITUV7LYAFHT26S6QCN6IQ,3 txns.  ,Algorand Network
2023-04-28 07:10:15,Send,ALGO,135.,,,ALGO,0.001,(Group- 0Ev+R...) - T2KAS4MPF6QKYB7UXCZ36QHFYF3VGWKVPDABTE6BQKU2QSJIT4FA,3 txns.  ,HD6TXRH5JPDA3LHMDFX2DL4KTNMYNBN3SUTDYWW4NWZX3XQWVDSGVN66AA
2023-04-28 07:10:15,Fee,,,,,ALGO,0.001,(Group- 0Ev+R...) - 2LQQ5NF3CWCYZDXLRC5J2DOXN4FQLIAGXW4QF7CQDJ5GQJ2RBQLQ,Asset Opt in/out,Algorand Network
2023-04-28 07:14:07,Send,ALGO,1.002,,,ALGO,0.001,(Group- 3WNop...) - X636UNCBWCGERMLKESTW4WNJFFB3KEK4MBZN67YES775ASWYQLXA,2 txns.  ,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ
2023-04-28 07:14:07,Send,ALGO,0.001,,,ALGO,0.001,(Group- 3WNop...) - 4AMTRIAFZPGEYZTNYL7FIBRZLFQDQVRAD2C6AQVXKABA7TCBPA4A,2 txns.  ,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ
2023-04-28 07:16:38,Send,ALGO,0.001,,,ALGO,0.001,(Group- Orkyg...) - DL3S2EMPF3MPNT6KFZO3E5SFUZIPKZIYVG66GYVGAZFNUDO7PPKA,1 txns.  ,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ
2023-04-28 07:52:09,Send,ALGO,4.95,,,ALGO,0.001,(Group- gGXUg...) - 7JYJVUEECX52F5MRJTEVRPEKAEEN3W7656BPMDUFHTNLIFNA5HNQ,5 txns.  ,VENDXAO3GQHV2AGXC7P3AXJFH2MG4BDBVD7NABOSXAQ6WH5A7E7QTJCQMM
2023-04-28 07:52:09,Send,ALGO,0.05,,,ALGO,0.001,(Group- gGXUg...) - VR5ZAEPLPY6X2V2GXZXAOAAD5DKZEE7AY2R3WZONUQ6XHDK3MGGA,5 txns.  ,RANDGVRRYGVKI3WSDG6OGTZQ7MHDLIN5RYKJBABL46K5RQVHUFV3NY5DUE
2023-04-28 07:52:09,Send,ALGO,0.001,,,ALGO,0.001,(Group- gGXUg...) - CBDCSD6QUHDEOLBXZ7GY6FI6Z7HBE34RKZ5LULX32W3TQZJI2FQA,5 txns.  ,MBI4VHG4MEV3I7AP4QVSVXNUY63VMGYAZWFJWF2B4BAIJR5YJBMY4ZDPNA
2023-04-28 07:52:09,Fee,,,,,ALGO,0.001,(Group- gGXUg...) - QRRRG35OGMMJHBLXG5UJBG6JLZQHFPKMNVI356YUJ7BAWV2FXPCQ,Asset Opt in/out,Algorand Network
2023-04-28 07:52:09,Receive,,,c-block,1.,,,(Group- gGXUg...) - N5FUNKMPHIZ3RGLFRYD2EYZUZ2FNIBIIZ64FHAPU4ESFE7ZOGMZA,5 txns.  ,MBI4VHG4MEV3I7AP4QVSVXNUY63VMGYAZWFJWF2B4BAIJR5YJBMY4ZDPNA
2023-04-28 20:55:53,Receive,,,ALGO,135.,,,(Group- AZ8QU...) - InnerTxn - TGAJR...,1 txns.  ,HD6TXRH5JPDA3LHMDFX2DL4KTNMYNBN3SUTDYWW4NWZX3XQWVDSGVN66AA
2023-04-28 22:09:50,Fee,,,,,ALGO,0.006,(Group- A/hO6...) - TNOJNZCRB6RJXSFSXYLJPHJLFIQVSKO3IJP3EFFXVBAZQNVD3SJA,1 txns. Folks Finance : Folks Finance v2 : Withdrawal ,Algorand Network
2023-04-28 22:09:50,Receive,,,ALGO,50.,,,(Group- 20M3U...) - InnerTxn - Inner TNOJN...,1 txns. Folks Finance : Folks Finance v2 : Withdrawal  ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4
2023-04-28 22:10:43,Send,ALGO,0.001,,,ALGO,0.001,(Group- hGCrq...) - 5OCEQWA7RXA5CCLM5PWBTQGOG4UVEV7TCDI6656MFLZRWDP2FVKQ,4 txns.  ,HD6TXRH5JPDA3LHMDFX2DL4KTNMYNBN3SUTDYWW4NWZX3XQWVDSGVN66AA
2023-04-28 22:10:43,Fee,,,,,ALGO,0.001,(Group- hGCrq...) - GQPJT6HBOXIPPWBXAHXY5WKXWI3MEOTP4BZDW6KEAP4NNMCWJ2SA,4 txns.  ,Algorand Network
2023-04-28 22:10:43,Send,ALGO,175.,,,ALGO,0.001,(Group- hGCrq...) - JMKZUHWNFE4OVHKEC2AWBEEPECWUK5GZN7U3HCAWAFTEGBFDM3AA,4 txns.  ,HD6TXRH5JPDA3LHMDFX2DL4KTNMYNBN3SUTDYWW4NWZX3XQWVDSGVN66AA
2023-04-28 22:10:43,Fee,,,,,ALGO,0.001,(Group- hGCrq...) - NYXVC6P2JVSP2I3Q5CKM62O43NU53DHWVX3E7NF56IRJN2JTGSMQ,Asset Opt in/out,Algorand Network
2023-04-29 03:29:47,Receive,,,ALGO,175.,,,(Group- YAwKz...) - InnerTxn - 44AJX...,1 txns.  ,HD6TXRH5JPDA3LHMDFX2DL4KTNMYNBN3SUTDYWW4NWZX3XQWVDSGVN66AA
2023-04-29 08:00:47,Fee,,,,,ALGO,0.001,(Group- gGSIu...) - LZ24PIYNV7VGMZP4JZF67DVALKQ563R5KE5HUTNH3TPXFSK6JVJQ,3 txns. Folks Finance : Folks Finance v2 : Deposit ,Algorand Network
2023-04-29 08:00:47,Send,ALGO,30.,,,,,(Group- gGSIu...) - 2ZFQ446EXIZCU3WB6J3UADDOP7IK7Y47NKCG7D4CIHASTGAQTRCQ,3 txns. Folks Finance : Folks Finance v2 : Deposit ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4
2023-04-29 08:00:47,Fee,,,,,ALGO,0.004,(Group- gGSIu...) - 7MYNQ5PDEJHBAXJBCNETDNWYBHDO5IQWSZMLQJJGN3RIQ3E2H7OQ,3 txns. Folks Finance : Folks Finance v2 : Deposit ,Algorand Network
2023-04-29 08:01:35,Send,ALGO,160.,,,ALGO,0.001,(Group- MsRJO...) - HDPKWTXN446BYDPEJRWQ3KZYGFV6DGWZACLRTO35AL4Y7E2R36FQ,2 txns. Algofi : Lending Market v2 : Add to Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-04-29 08:01:35,Fee,,,,,ALGO,0.002,(Group- MsRJO...) - VGTI3IJTYGZR4ZSPZQGJ5WKEFO55AKQLJ3OB7CAZGCCNSIRQX3BQ,2 txns. Algofi : Lending Market v2 : Add to Collateral ,Algorand Network
2023-04-29 14:20:21,Send,ALGO,0.002,,,ALGO,0.001,(Group- mcJkr...) - DM7VKFTD6BCTY4ET7MTYZXSFE5RNZYHYXQ5PKGKXLLRRK4FYMNUA,1 txns.  ,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ
2023-05-03 10:35:58,Fee,,,,,ALGO,0.004,(Group- zyDJ2...) - WMSU6QSMBXJIESGFCUA2B7VJUOFHRHW24DDXK7AND2WRYZ7BIIKQ,1 txns. Algofi : Lending Market v2 : Remove Collateral ,Algorand Network
2023-05-03 10:35:58,Receive,,,ALGO,100.000021,,,(Group- zyDJ2...) - InnerTxn - WMSU6...,1 txns. Algofi : Lending Market v2 : Remove Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-05-03 10:49:56,Fee,,,,,ALGO,0.006,(Group- h3Zwd...) - 6KIRJJKD4YAD6VIBNIX2HFHEXU5MLKZKOI3GHDV5QKZH6SFOQN4A,1 txns. Folks Finance : Folks Finance v2 : Withdrawal ,Algorand Network
2023-05-03 10:49:56,Receive,,,ALGO,100.,,,(Group- NmE/i...) - InnerTxn - Inner 6KIRJ...,1 txns. Folks Finance : Folks Finance v2 : Withdrawal  ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4
2023-05-03 10:50:34,Send,ALGO,200.,,,ALGO,0.001,7VOOOLWRRW25TXFNOISOCZPT7KJUKA3665WYEVJPX7JEEB34FY5Q,Sender,5THJO5YZQZXZCESR5AROVTRAMIGHKPPTPXJVCZRIHRRYLX5TSBMAC72KKM
2023-05-05 19:56:20,Receive,,,ALGO,20.,,,Y5KSZ4P3QVTRHUASX4U4ARNHKN6MLSPW2XGJIJGZBOTCOASMCNTQ,Receiver,HSY2V6IMWVOTZB6I6X7DULB7VD6N7MU65QQMN4TVOJCJ4K2DD2KN2J6ZIU
2023-05-05 19:57:04,Send,ALGO,25.,,,ALGO,0.001,(Group- AJ3jz...) - VTKG5LFGGGNTAXY7IPSYYOYQQ3MN3ABPAQI6OTG7DW7VEL7DAQQA,2 txns. Algofi : Lending Market v2 : Add to Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-05-05 19:57:04,Fee,,,,,ALGO,0.002,(Group- AJ3jz...) - 4TYVYGKTQYAOKCIJE2QYHRTI5MW6ECOEJQFOAMPLYTFL76Q237OQ,2 txns. Algofi : Lending Market v2 : Add to Collateral ,Algorand Network
