time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2023-04-18 16:10:06,Receive,,,ALGO,25.,,,OMBBPHQGVZ7NPDR37YONFD2BBRE7LFKURZR3NONYMMUXDCBXE6BA,Receiver,HSY2V6IMWVOTZB6I6X7DULB7VD6N7MU65QQMN4TVOJCJ4K2DD2KN2J6ZIU
2023-04-21 17:49:42,Receive,,,ALGO,147.,,,CICN3XBQZSSVO47PQ5XTZSWGV5QZFSW6RBMPHQUL2VBBY2CAIYBA,Receiver,F4MY7F4A3RNJT3UEX7JU6QKDB5VGYVGGXBLQVMRHJRBLR3YESFEOORNWHA
2023-04-21 17:51:25,Send,ALGO,0.715,,,,,(Group- uU/Uu...) - APBY3A7VTYJDHQRREFJM5CDKWHJFFOTJB3TCX2XUR6F5ZHK5FOTA,2 txns. Algofi : Lending Market v2 : Initialize Account ,EKQ3ZDVC4ZQB3H2O6OUUVB6HOBQXCQJYEXZW6VBKEK6WEDI2CWZGL7KKAY
2023-04-21 17:51:25,Fee,,,,,ALGO,0.002,Group Combined Fees - uU/UueUxqJ5XfTDuONBhm7SSy+H9f8/M9QafI4Fey90=,2 txns. Algofi : Lending Market v2 : Initialize Account,Algorand Network
2023-04-21 17:52:06,Send,ALGO,0.471,,,,,(Group- 2ZbXR...) - BZKF6F7DUK4IPMK5HGA6AMR75DOKVX2GJ2G4XI4URLZ23MTT7ESA,3 txns. Algofi : Lending Market v2 : Initialize Account ,EKQ3ZDVC4ZQB3H2O6OUUVB6HOBQXCQJYEXZW6VBKEK6WEDI2CWZGL7KKAY
2023-04-21 17:52:06,Fee,,,,,ALGO,0.004,Group Combined Fees - 2ZbXR6RpNJWuQbQPp/6kxFVIeK4eKhC5xb1UeJ/lKkg=,3 txns. Algofi : Lending Market v2 : Initialize Account,Algorand Network
2023-04-21 17:52:28,Send,ALGO,80.,,,,,(Group- HMqbc...) - DK2S4IMNALTHAP7DKVZHL63RXOWQONECVCXTQVUSYBGSAYDRAVRQ,3 txns. Algofi : Lending Market v2 : Add to Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-04-21 17:52:28,Fee,,,,,ALGO,0.004,Group Combined Fees - HMqbcmXUww/UYSoer+x8zgjCtHL2+WeZeSbPQ5kSku4=,3 txns. Algofi : Lending Market v2 : Add to Collateral,Algorand Network
2023-04-21 17:53:13,Send,ALGO,0.35,,,,,(Group- 1CCxQ...) - KIKLGJLSCFPY66CZ7KQ4BXN7FA2FWRW45AYJF5APR6HCFRDAEFPA,5 txns. Folks Finance : Folks Finance v2 : Deposit ,MCZWZ7C4FHQWEKNNYDLQP33ZXNLFUQVEZUAJZ7C2HXMFKVEMA43AU4FPMU
2023-04-21 17:53:13,Send,ALGO,80.,,,,,(Group- 1CCxQ...) - 2OAX2ZNGAZIH7YEEBYR4HSQ34E5UZTYQR5OMNTOWRZ7OVKM6UOAA,5 txns. Folks Finance : Folks Finance v2 : Deposit ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4
2023-04-21 17:53:13,Fee,,,,,ALGO,0.009,Group Combined Fees - 1CCxQDJjnVqT2MOUpYpe+fmybqGFgIfQmjjlzOos7fo=,5 txns. Folks Finance : Folks Finance v2 : Deposit,Algorand Network
2023-04-22 09:51:38,Receive,,,ALGO,175.,,,KLN2B7W66HTE2MRNSMDFM7GUPPXMNEHGSV6E2MMTLECYPDBBKVIA,Receiver,F4MY7F4A3RNJT3UEX7JU6QKDB5VGYVGGXBLQVMRHJRBLR3YESFEOORNWHA
2023-04-22 10:27:26,Send,ALGO,90.,,,,,(Group- EEI24...) - TM3Q2DDNAA5CD74JKJUOESMDUYNYRQKSHLRCYNHDJYNQQRVLMRVQ,3 txns. Folks Finance : Folks Finance v2 : Deposit ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4
2023-04-22 10:27:26,Fee,,,,,ALGO,0.005,Group Combined Fees - EEI24TaGCpVv6gmicwhdBusVnDi4AOiNRLcSKx0+ksg=,3 txns. Folks Finance : Folks Finance v2 : Deposit,Algorand Network
2023-04-22 10:28:14,Send,ALGO,90.,,,,,(Group- H71DS...) - D4PRQYPPKQT3GIQAY5STUUXAB3V3WLKFZ7ZMY6PVV7ATAF5NQ2XA,2 txns. Algofi : Lending Market v2 : Add to Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-04-22 10:28:14,Fee,,,,,ALGO,0.003,Group Combined Fees - H71DSsoWeIm27ttV8dVpV6IQrQaHfeUZuH+nh01F3YA=,2 txns. Algofi : Lending Market v2 : Add to Collateral,Algorand Network
2023-04-23 15:08:28,Send,ALGO,1.001,,,ALGO,0.001,2QYDLKRFGBG4ITDH7FGT7Q7DE2JG6LPWIPPQTFXOLXFCKT3VO65A,Sender,TESTCHKUDKKCRXQFNVIPI7YAXCABI43343N5MHPZDSPKG365VGLNAKQ3HY
2023-04-25 11:11:52,Receive,,,ALGO,10.000002,,,(Group- l4aya...) - InnerTxn #1 - 44JVT...,1 txns. Algofi : Lending Market v2 : Remove Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-04-25 11:11:52,Fee,,,,,ALGO,0.004,Group Combined Fees - l4ayaAnr0Pu0bIip9I9d6t2zylmCcOwexjeGauKlQng=,1 txns. Algofi : Lending Market v2 : Remove Collateral,Algorand Network
2023-04-25 11:12:25,Send,ALGO,10.,,,ALGO,0.001,L4SOXI7TDHIXSUEAFWPFWETDYANOBF4AONZ4PNMLYGAQM2PRDJ2Q,Sender,TESTCHKUDKKCRXQFNVIPI7YAXCABI43343N5MHPZDSPKG365VGLNAKQ3HY
2023-04-27 18:29:50,Receive,,,ALGO,6.173,,,FM3DPD32LJEWBGTUHXW7ZJUV43ISJKIC7M6NPTFN3QD4WQI5YKXA,Receiver,TESTPHIZRBL47D27FUCLKUDKGI4MXK62WMRNIE76SY6UPXAZKDSLLGJ3Y4
2023-04-28 06:25:23,Send,ALGO,5.,,,ALGO,0.001,F22I3MYEC2ISNM5RSMWR2LPSYINP4CAP4YDSMHXO5FVACXHNKGOQ,Sender,TESTPHIZRBL47D27FUCLKUDKGI4MXK62WMRNIE76SY6UPXAZKDSLLGJ3Y4
2023-04-28 06:50:33,Receive,,,ALGO,1.108,,,(Group- HXPXE...) - KIWVYK2GTHRGRDJTSPC66HFEB6HZKHRLA6DHARHAZJHVOWPYMRAQ,1 txns.  ,HSY2V6IMWVOTZB6I6X7DULB7VD6N7MU65QQMN4TVOJCJ4K2DD2KN2J6ZIU
2023-04-28 06:51:07,Send,ALGO,1.,,,,,(Group- nJpIR...) - SKX7ELZHZEQVPT527BXAR3OKQXDAAWVAPP7ZY3BNE7QSZJIBOEYQ,3 txns.  ,6JMLVJO4XFFRZFN3GTKAGBI6PCY5BJGV5JS4WM3PIBUJHVU4EZGVVS42IA
2023-04-28 06:51:07,Receive,,,NFD,1.,,,(Group- nJpIR...) - InnerTxn #1 - SMXVQ...,3 txns.  ,6JMLVJO4XFFRZFN3GTKAGBI6PCY5BJGV5JS4WM3PIBUJHVU4EZGVVS42IA
2023-04-28 06:51:07,Fee,,,,,ALGO,0.009,Group Combined Fees - nJpIRDDUDY7YkkNvoTJqz1LCDkozEMgsx0tQHtkCE2E=,3 txns. ,Algorand Network
2023-04-28 07:02:45,Receive,,,ALGO,150.00003,,,(Group- yAumQ...) - InnerTxn #1 - LED2M...,1 txns. Algofi : Lending Market v2 : Remove Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-04-28 07:02:45,Fee,,,,,ALGO,0.004,Group Combined Fees - yAumQAv7UguHCgPtWTeTzHU8hheXTYgNTxKC8BJ7ksY=,1 txns. Algofi : Lending Market v2 : Remove Collateral,Algorand Network
2023-04-28 07:10:15,Send,ALGO,135.,,,,,(Group- 0Ev+R...) - T2KAS4MPF6QKYB7UXCZ36QHFYF3VGWKVPDABTE6BQKU2QSJIT4FA,3 txns.  ,HD6TXRH5JPDA3LHMDFX2DL4KTNMYNBN3SUTDYWW4NWZX3XQWVDSGVN66AA
2023-04-28 07:10:15,Fee,,,,,ALGO,0.003,Group Combined Fees - 0Ev+RMrdsU8CKCnh26ESPLXBsa/boTp9Jon3beWH5zQ=,3 txns. ,Algorand Network
2023-04-28 07:14:07,Send,ALGO,1.002,,,,,(Group- 3WNop...) - X636UNCBWCGERMLKESTW4WNJFFB3KEK4MBZN67YES775ASWYQLXA,2 txns.  ,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ
2023-04-28 07:14:07,Send,ALGO,0.001,,,,,(Group- 3WNop...) - 4AMTRIAFZPGEYZTNYL7FIBRZLFQDQVRAD2C6AQVXKABA7TCBPA4A,2 txns.  ,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ
2023-04-28 07:14:07,Fee,,,,,ALGO,0.002,Group Combined Fees - 3WNopsBF8B2YyY2eGBSS49o5AKuIm54iuArg3lOFNtQ=,2 txns. ,Algorand Network
2023-04-28 07:16:38,Send,ALGO,0.001,,,,,(Group- Orkyg...) - DL3S2EMPF3MPNT6KFZO3E5SFUZIPKZIYVG66GYVGAZFNUDO7PPKA,1 txns.  ,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ
2023-04-28 07:16:38,Fee,,,,,ALGO,0.001,Group Combined Fees - OrkygGC47nU9BRX12yS2utcYh+Ojoijz6I0BA252umA=,1 txns. ,Algorand Network
2023-04-28 07:52:09,Send,ALGO,4.95,,,,,(Group- gGXUg...) - 7JYJVUEECX52F5MRJTEVRPEKAEEN3W7656BPMDUFHTNLIFNA5HNQ,5 txns.  ,VENDXAO3GQHV2AGXC7P3AXJFH2MG4BDBVD7NABOSXAQ6WH5A7E7QTJCQMM
2023-04-28 07:52:09,Send,ALGO,0.05,,,,,(Group- gGXUg...) - VR5ZAEPLPY6X2V2GXZXAOAAD5DKZEE7AY2R3WZONUQ6XHDK3MGGA,5 txns.  ,RANDGVRRYGVKI3WSDG6OGTZQ7MHDLIN5RYKJBABL46K5RQVHUFV3NY5DUE
2023-04-28 07:52:09,Send,ALGO,0.001,,,,,(Group- gGXUg...) - CBDCSD6QUHDEOLBXZ7GY6FI6Z7HBE34RKZ5LULX32W3TQZJI2FQA,5 txns.  ,MBI4VHG4MEV3I7AP4QVSVXNUY63VMGYAZWFJWF2B4BAIJR5YJBMY4ZDPNA
2023-04-28 07:52:09,Receive,,,c-block,1.,,,(Group- gGXUg...) - N5FUNKMPHIZ3RGLFRYD2EYZUZ2FNIBIIZ64FHAPU4ESFE7ZOGMZA,5 txns.  ,MBI4VHG4MEV3I7AP4QVSVXNUY63VMGYAZWFJWF2B4BAIJR5YJBMY4ZDPNA
2023-04-28 07:52:09,Fee,,,,,ALGO,0.004,Group Combined Fees - gGXUgDTQtQH6hlj9vFpmgxhebikQvMBmMO+GfWKIbVg=,5 txns. ,Algorand Network
2023-04-28 20:55:53,Receive,,,ALGO,135.,,,(Group- AZ8QU...) - InnerTxn #1 - TGAJR...,1 txns.  ,HD6TXRH5JPDA3LHMDFX2DL4KTNMYNBN3SUTDYWW4NWZX3XQWVDSGVN66AA
2023-04-28 22:09:50,Receive,,,ALGO,50.,,,(Group- 20M3U...) - InnerTxn #1 - Inner TNOJN...,1 txns. Folks Finance : Folks Finance v2 : Withdrawal  ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4
2023-04-28 22:09:50,Fee,,,,,ALGO,0.006,Group Combined Fees - A/hO61wWnvgwX+PeEWRuT0wiDFq/n6ElkNbp/3S0bqA=,1 txns. Folks Finance : Folks Finance v2 : Withdrawal,Algorand Network
2023-04-28 22:10:43,Send,ALGO,0.001,,,,,(Group- hGCrq...) - 5OCEQWA7RXA5CCLM5PWBTQGOG4UVEV7TCDI6656MFLZRWDP2FVKQ,4 txns.  ,HD6TXRH5JPDA3LHMDFX2DL4KTNMYNBN3SUTDYWW4NWZX3XQWVDSGVN66AA
2023-04-28 22:10:43,Send,ALGO,175.,,,,,(Group- hGCrq...) - JMKZUHWNFE4OVHKEC2AWBEEPECWUK5GZN7U3HCAWAFTEGBFDM3AA,4 txns.  ,HD6TXRH5JPDA3LHMDFX2DL4KTNMYNBN3SUTDYWW4NWZX3XQWVDSGVN66AA
2023-04-28 22:10:43,Fee,,,,,ALGO,0.004,Group Combined Fees - hGCrqU0J3YJsSJuFF8QP3AuwF39dzqH3wNytADybr1E=,4 txns. ,Algorand Network
2023-04-29 03:29:47,Receive,,,ALGO,175.,,,(Group- YAwKz...) - InnerTxn #1 - 44AJX...,1 txns.  ,HD6TXRH5JPDA3LHMDFX2DL4KTNMYNBN3SUTDYWW4NWZX3XQWVDSGVN66AA
2023-04-29 08:00:47,Send,ALGO,30.,,,,,(Group- gGSIu...) - 2ZFQ446EXIZCU3WB6J3UADDOP7IK7Y47NKCG7D4CIHASTGAQTRCQ,3 txns. Folks Finance : Folks Finance v2 : Deposit ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4
2023-04-29 08:00:47,Fee,,,,,ALGO,0.005,Group Combined Fees - gGSIumT43eFA0sQcsljidJYGzDQuJ4DmVsEqG2JPBgQ=,3 txns. Folks Finance : Folks Finance v2 : Deposit,Algorand Network
2023-04-29 08:01:35,Send,ALGO,160.,,,,,(Group- MsRJO...) - HDPKWTXN446BYDPEJRWQ3KZYGFV6DGWZACLRTO35AL4Y7E2R36FQ,2 txns. Algofi : Lending Market v2 : Add to Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-04-29 08:01:35,Fee,,,,,ALGO,0.003,Group Combined Fees - MsRJOO+cQibNnjEe2eE4hv+nb2ZFlDlsSS4yus9Q87Q=,2 txns. Algofi : Lending Market v2 : Add to Collateral,Algorand Network
2023-04-29 14:20:21,Send,ALGO,0.002,,,,,(Group- mcJkr...) - DM7VKFTD6BCTY4ET7MTYZXSFE5RNZYHYXQ5PKGKXLLRRK4FYMNUA,1 txns.  ,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ
2023-04-29 14:20:21,Fee,,,,,ALGO,0.001,Group Combined Fees - mcJkrH1YidBS45Dlifj1qYrgIkILOdX8yhCgjSekEmk=,1 txns. ,Algorand Network
2023-05-03 10:35:58,Receive,,,ALGO,100.000021,,,(Group- zyDJ2...) - InnerTxn #1 - WMSU6...,1 txns. Algofi : Lending Market v2 : Remove Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-05-03 10:35:58,Fee,,,,,ALGO,0.004,Group Combined Fees - zyDJ2flqICzCvhvwf0rec5tpm7saboZqdrNe/s06l7M=,1 txns. Algofi : Lending Market v2 : Remove Collateral,Algorand Network
2023-05-03 10:49:56,Receive,,,ALGO,100.,,,(Group- NmE/i...) - InnerTxn #1 - Inner 6KIRJ...,1 txns. Folks Finance : Folks Finance v2 : Withdrawal  ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4
2023-05-03 10:49:56,Fee,,,,,ALGO,0.006,Group Combined Fees - h3ZwdF5ii6vlYx4aRHrGdv2eWggZ1niy4poE8+GHaKc=,1 txns. Folks Finance : Folks Finance v2 : Withdrawal,Algorand Network
2023-05-03 10:50:34,Send,ALGO,200.,,,ALGO,0.001,7VOOOLWRRW25TXFNOISOCZPT7KJUKA3665WYEVJPX7JEEB34FY5Q,Sender,5THJO5YZQZXZCESR5AROVTRAMIGHKPPTPXJVCZRIHRRYLX5TSBMAC72KKM
2023-05-05 19:56:20,Receive,,,ALGO,20.,,,Y5KSZ4P3QVTRHUASX4U4ARNHKN6MLSPW2XGJIJGZBOTCOASMCNTQ,Receiver,HSY2V6IMWVOTZB6I6X7DULB7VD6N7MU65QQMN4TVOJCJ4K2DD2KN2J6ZIU
2023-05-05 19:57:04,Send,ALGO,25.,,,,,(Group- AJ3jz...) - VTKG5LFGGGNTAXY7IPSYYOYQQ3MN3ABPAQI6OTG7DW7VEL7DAQQA,2 txns. Algofi : Lending Market v2 : Add to Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-05-05 19:57:04,Fee,,,,,ALGO,0.003,Group Combined Fees - AJ3jz9+SErIO2Ww8tzchmi45+VVA8ixEnQPqekmD4Ec=,2 txns. Algofi : Lending Market v2 : Add to Collateral,Algorand Network
2023-05-20 11:13:03,Receive,,,ALGO,10.000024,,,(Group- b93eF...) - InnerTxn #1 - PQY22...,1 txns. Algofi : Lending Market v2 : Remove Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-05-20 11:13:03,Fee,,,,,ALGO,0.004,Group Combined Fees - b93eFMysKwqpDRVLLvjI8SyHD/cp7GQ2QkW55C7JUE4=,1 txns. Algofi : Lending Market v2 : Remove Collateral,Algorand Network
2023-05-20 11:14:45,Send,ALGO,10.,,,,,(Group- CIS1A...) - UNDFHEV5GY3CJ65B2HRBN74QLQZGFGIJMVK63D32MD4DNBTDNV4A,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity ,Tinyman - COOP/ALGO Liquidity Pool
2023-05-20 11:14:45,Receive,,,TMPOOL2,34.763861,,,(Group- CIS1A...) - InnerTxn #1 - QX2CZ...,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity ,IUUZ66NGBEKKTZ2RW7CAUOGEIBOFTYNUNMMEUSS3K5CSJAMGDY747F5KIA
2023-05-20 11:14:45,Fee,,,,,ALGO,0.005,Group Combined Fees - CIS1ArJZSI+T9SspCIzNvYEpYZWH/gZ3EDlrz4HC/1M=,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity,Algorand Network
2023-05-21 08:06:51,Fee,,,,,ALGO,0.001,4HIYTO36XYTG5YISY7MKJX5F4Q6YXNYZIF4ZFXBDSHVU5NIBRB6Q,Asset Opt in/out,Algorand Network
2023-05-21 08:07:06,Fee,,,,,ALGO,0.001,XYRVWGTEHLI63BI7XZCMS4I35K5EQF2ENK6TI3EGV4J44VFBX72A,Asset Opt in/out,Algorand Network
2023-05-21 09:54:58,Receive,,,ALGO,10.000001,,,(Group- 7gQcH...) - InnerTxn #1 - AQPKV...,1 txns. Algofi : Lending Market v2 : Remove Collateral ,A3SPTZUKQS53TPM5UHXIZMNUJYCZ4YAKJBFWW2U7ZSUG5AP5JJRVTG5D64
2023-05-21 09:54:58,Fee,,,,,ALGO,0.004,Group Combined Fees - 7gQcHWtIQH5eCqUcCGYrxHroy0bf4yfVsfIooBTwMAs=,1 txns. Algofi : Lending Market v2 : Remove Collateral,Algorand Network
2023-05-21 09:56:45,Send,ALGO,2.038963,,,,,(Group- lhOxU...) - GY3DTOLBBMJDBU52P5ZQQBGRWQBOIYEMUBC67RNEOEHQDIKPU34A,2 txns. Tinyman : Tinyman AMM v2 : Swap (Buy) ,V34RGCPO7ZOU2LUE2N54AGDUW3JLNGFBAPRVTJVAFVQTRHEXGKHJD6J35Q
