time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2022-01-11 08:43:34,Receive,,,ALGO,2.1,,,NHNGOWC7CB7VV4UV2Y7YMP2O5UTBPPR4PCKS346OQIE4BAS3ETCA,Receiver,WXVQR4CFBF3USC5JXFFN5R6MMOZPGOHI3GKZFBU3S5NI5PTKWPBFCPZWZA
2022-01-11 15:13:37,Fee,,,,,ALGO,0.001,ZSH5VT7UU4CYC4VIUW3H463ZQBNABJRLOTMGNBC3O5LPM2MWYBVA,Asset Opt in/out,Algorand Network
2022-01-11 15:13:37,Rewards,,,ALGO,0.00002,,,Sender Rewards - ZSH5VT7UU4CYC4VIUW3H463ZQBNABJRLOTMGNBC3O5LPM2MWYBVA,Network Participation Rewards,Algorand Foundation
2022-01-11 17:57:09,Fee,,,,,ALGO,0.001,X46WIIOMSR7HWJSR7I4UII5TI4OGXQXXLRIPCDOTAW73GOEBLRCQ,Asset Opt in/out,Algorand Network
2022-01-11 17:57:09,Rewards,,,ALGO,0.000008,,,Sender Rewards - X46WIIOMSR7HWJSR7I4UII5TI4OGXQXXLRIPCDOTAW73GOEBLRCQ,Network Participation Rewards,Algorand Foundation
2022-01-12 14:51:43,Fee,,,,,ALGO,0.001,GXFVVBXUZCT4NKADCPX6BQXOO34VZRHTADZQLTMKYKBD5ISLFT3Q,Asset Opt in/out,Algorand Network
2022-01-12 14:51:43,Rewards,,,ALGO,0.000058,,,Sender Rewards - GXFVVBXUZCT4NKADCPX6BQXOO34VZRHTADZQLTMKYKBD5ISLFT3Q,Network Participation Rewards,Algorand Foundation
2022-04-10 18:36:16,Fee,,,,,ALGO,0.001,TH3AEIM322AOT3FVRLMZY7KHLKMMJE4ISV3VWREGVBMCSV5AYQCA,Asset Opt in/out,Algorand Network
2022-04-10 18:36:16,Rewards,,,ALGO,0.002422,,,Sender Rewards - TH3AEIM322AOT3FVRLMZY7KHLKMMJE4ISV3VWREGVBMCSV5AYQCA,Network Participation Rewards,Algorand Foundation
2022-04-10 18:37:52,Fee,,,,,ALGO,0.001,T34MZOC7FUDWLUFJX5GTUUII2SRVMNDH6CLPSOQHF7EZU2VUOUXA,Asset Opt in/out,Algorand Network
