time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2024-06-11 02:26:34,pay,,,ALGO,0.2,,,5DKMH2VQMYZC2SHKMALE2QJLW2UTUHPMBC2DKUPY23OPGPFXZTFA,Receiver,N7EKC7T...
2024-06-11 05:30:07,pay,,,ALGO,0.2,,,CD2RRWHZZW4ELNXLXQJFBOYJO2AXMYE3VBI3PJLFF6CWJUHJZR7A,Receiver,N7EKC7T...
2024-06-11 05:31:05,axfer,USDC,0.,,,,,Q5BAMNA5QA65GM6AMKMMXUNG5JUPQQBKY5IGGWIIQZ7C4ZQ2ERGQ,Asset Opt in/out,
2024-06-11 05:33:06,axfer,,,USDC,0.1,,,5KJSUFOBZS6O5HAD25CM32EIWKYNJXW2Y3TJPRFOGJ7SIK5VKQ5Q,Receiver,E2ROUAC...
2024-06-11 05:33:15,pay,,,ALGO,0.001,,,(Group- uufpj...) - 4HBWP5ZPQDGH7ERI4YGU3T5BTZXYLFMKPO3OWXCN6DRK6XJAKOUA,2 txns.  ,ZG54ZBZ...
2024-06-11 05:33:15,axfer,USDC,0.1,,,ALGO,0.001,(Group- uufpj...) - NKLQ5OPXXMITPU6HGM75IJPXIVE33CPULG4IWGLIXCZRF3RH47RQ,2 txns.  ,ZG54ZBZ...
2024-06-11 05:36:08,pay,,,ALGO,0.000055,,,(Group- kOBeZ...) - KKHSB5ILB42TTFWO7A27YPRN4ZUY6ALWZBJ4VO5YZ2GVK3CFDCRQ,1 txns.  ,EGY5MGY...
2024-06-11 05:36:16,pay,,,ALGO,0.000013,,,(Group- zglFE...) - E3YIIPN5ONP7XPK36IKQWRRAT4CYO23SBTYIK2HI5N26E5SJGSKQ,1 txns.  ,WARN666...
2024-06-11 05:38:15,pay,,,ALGO,0.000065,,,(Group- b9dy8...) - 3XUIHMVPCWF6RXXOZ4PWQ6AVAWBQ35PD5TDNTF63VOWYZ5CHJR4Q,1 txns.  ,EGY5MGY...
2024-06-11 05:38:32,pay,,,ALGO,0.000013,,,(Group- Hg3iD...) - CC2OYTH3MQKBHVGZU5XLXC6AHXGXEVTD4RJICYZFDS33TK5HF2TA,1 txns.  ,WARN666...
2024-06-14 22:47:26,pay,,,ALGO,188633.4075,,,SUOYUHRZMBJVDWOFIOO2BN7ME2OCLL4OEZ7HVPUNF6TPHBU47OYQ,Receiver,ZG54ZBZ...
2024-06-14 23:09:09,axfer,,,USDC,1.,,,JXO5AG4C2CK4AU3PZ2LDPA2W6IGL7UTKZQK2NTT3ZHAUJHMD25HQ,Receiver,OSS3CEB...
2024-06-14 23:15:23,axfer,,,USDC,993270.408228,,,A4UAVMJZ5KXYNT3G2TVWQY5ZMDVCYDKE5S3IFJPEKN6GBX4W7XSQ,Receiver,OSS3CEB...
2024-06-14 23:19:03,pay,ALGO,0.201,,,ALGO,0.001,(Group- prn7D...) - CTPQZLXENF77YMI6B2OXQIPE4UGKAYDBWQQTCIBZQ6SOZPZIC7XA,1 txns.  ,W5YA4VI...
2024-06-14 23:20:26,axfer,USDC,0.05,,,ALGO,0.001,LV74FE4TA6OOYS4COP72F43CXJZY4V2XRLVNXBAA3YV4TUJSTGDQ,Sender,OSS3CEB...
