time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2023-11-06 11:47:32,pay,,,ALGO,0.201,,,5A6XHZGA26RMFR2A3ORYKAAIERN73EAZAG22KSDAXQCAT2E5BYXQ,Receiver,ZLTOJBS...
2023-11-06 11:48:42,axfer,USDC,0.,,,,,FADDLY5YUPBW43W4W62CAS6BZSBJ77QRFNNZK7AVEKEU3THEI52Q,Asset Opt in/out,
2023-12-28 06:42:2,axfer,,,USDC,1.,,,SCS7SVQXIRMKLNRIYQLNR2WXCRH6JCP3YQU2QAMSYMTRHZAJBLQA,Receiver,ZG54ZBZ...
2024-02-23 22:48:33,axfer,,,USDC,5513.,,,3NOALY5Z6FGEWDQM25NRADECALPPCIZOQLEPDVIBBWLNG2DNRU5Q,Receiver,ZG54ZBZ...
2024-02-23 22:59:02,pay,,,ALGO,0.02,,,BW67NXQ4FZ3C74VXP3RPGAOGK3YMPO7XM3ROWCQ7DR2S37SRLKWQ,Receiver,ZLTOJBS...
2024-02-23 23:08:24,axfer,,,USDC,5795.,,,5BLPCUXEAICCDM5QGIZOTKGR4LXUTH7EJWRRHUVVJRLPRUXEHMJQ,Receiver,ZG54ZBZ...
2024-02-23 23:09:01,axfer,USDC,11309.,,,ALGO,0.001,T7BEFOB7SKH6B54YSTZZ36NG3L73D7UIPLCREVK76O3OEJV6XOGQ,Sender,QYXDGS2...
2024-02-24 00:01:55,axfer,,,USDC,6219.,,,5VH734VBPSYP3PZYHZROEB2MK43KLQUSIUHSPJ4DJJ7P6LDLZHRQ,Receiver,ZG54ZBZ...
2024-02-24 00:04:3,axfer,,,USDC,5824.,,,7Y26A3QTUED53VWDFEM2ABKDCEPBXWVYZ5JHQX7EJFKQCPC7MTGA,Receiver,ZG54ZBZ...
2024-02-24 00:06:05,axfer,,,USDC,5476.,,,4YHUYZO7OUGFQU26FC35VOYE3EUGESKMRUN344RN47CO6EDXA6RQ,Receiver,ZG54ZBZ...
2024-02-24 00:09:01,axfer,USDC,17519.,,,ALGO,0.001,DMH4RBXL2GEJ33SNEOSDV6J46AFZEVDW3OGJEOXOXLTQS3I6NPMA,Sender,QYXDGS2...
2024-02-24 00:14:51,axfer,,,USDC,4591.,,,U6IZNWQFC7AWMDZQZZZKCZYYZOTFE42ZS26AH3JZ3GXYRIPO7NUA,Receiver,ZG54ZBZ...
2024-02-24 00:19:03,axfer,USDC,4591.,,,ALGO,0.001,4E7QDFGYC5FTPI4HFW5VIT66UHXT556CQIJCPVUPJLBKAVBAWEWQ,Sender,QYXDGS2...
2024-02-24 00:20:55,axfer,,,USDC,4149.,,,XKNRWRQDQKR45VNNMR2FAWHVVUWIHOA4IPMQIACM7DJH4XDD7BEA,Receiver,ZG54ZBZ...
2024-02-24 00:29:02,axfer,USDC,4149.,,,ALGO,0.001,VU67BWTJCC3WJYIAQAXHMLRYT6RSURTTRABA5SH6JIXSHPSX46FA,Sender,QYXDGS2...
2024-02-24 02:11:15,axfer,,,USDC,6316.,,,CEELWGTCWYQ4F6QBLXVJU7EJRLNIUNHN3FQ36GVI2OSFUYIJ6ZWA,Receiver,ZG54ZBZ...
2024-02-24 02:19:03,axfer,USDC,6316.,,,ALGO,0.001,GETLMM4BPDL7ILU4QZB47QC7NPV3RAFBHOO4KF7MSVL4XAUUUBCQ,Sender,QYXDGS2...
2024-02-24 02:45:13,axfer,,,USDC,5388.,,,Z34G2CG72UQHXB3ZJG345AUR742NYFPCUGVFOWYXJGUJSPTLMZRQ,Receiver,ZG54ZBZ...
