time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2023-06-09 22:15:56,pay,,,ALGO,0.201,,,7UYGBCMUHZRCOMH3IVLF6C3Y4MGDYRWSRYPZIKGRLCPNWIA5EEWQ,Receiver,ZLTOJBS...
2023-06-09 22:16:41,axfer,USDC,0.,,,,,H2D6HU2ORZRZ37EWSS4IGZVDQRJXHUI7OQH5NOZT4UWKJC66PR5A,Asset Opt in/out,
2023-06-22 16:57:,axfer,,,USDC,1.21,,,IFZFIYIYJV5UEKHHFLXRDFJ4POFBH5IKQXK2UVAAI4CAXXQWHT5Q,Receiver,ZG54ZBZ...
2023-06-22 16:59:54,axfer,,,USDC,30173.,,,N3LNECASLDP3UA7HYWL34CTZGSMJFXFU3TAGDZBQ5VBXVYNJICVQ,Receiver,ZG54ZBZ...
2023-06-22 17:09:04,pay,,,ALGO,0.021,,,DQAKGPKHKMQK44QEFKAKZI5WDTY2VUE36R3IU4RPLZYFIMFDB5BQ,Receiver,ZLTOJBS...
2023-06-22 17:19:,axfer,USDC,30174.21,,,ALGO,0.001,5SHAJCIOI5VWXKFRT5E5J7XFPJNWVOOYYFVH5HKEXXRHXK3KQUQQ,Sender,QYXDGS2...
2023-06-23 02:05:17,axfer,,,USDC,20000.,,,QZASZFDJTNWWQU5KFPZCKMPO6RALKZO4FAOFYBGIQ54P5CHCNBZQ,Receiver,ZG54ZBZ...
2023-06-23 02:09:03,axfer,USDC,20000.,,,ALGO,0.001,CJY7OPE74S4PWUGB7UX7HXYGYBNXBVQ5AIMEHQK2WNJP74M2UC4Q,Sender,QYXDGS2...
2023-06-24 15:34:1,axfer,,,USDC,0.1,,,XVPGL3I2IWZ4YLYNVWRGHZO3ZZ5OYO5A4Y5MOWV4WRZEHF2O5DKA,Receiver,ZG54ZBZ...
2023-06-25 00:03:07,axfer,,,USDC,20000.6,,,YJPOJEDOV3A4DWOI4NGQNP2QIQJBIUGZKDBJQBBGZYSZOU6KAZGA,Receiver,ZG54ZBZ...
2023-06-25 00:09:03,axfer,USDC,20000.7,,,ALGO,0.001,RENPJPJQX4ZSLT3DLKPCCWANP7ZPIJM3J3Z73SZWH334VF5AQINQ,Sender,QYXDGS2...
2023-06-26 12:39:18,axfer,,,USDC,20000.,,,KGHQWJCQCRSJPVQ7WDG2VDS77KIFV5L3ATRYFYYVUB76CNVQYYMQ,Receiver,ZG54ZBZ...
2023-06-26 12:49:01,axfer,USDC,20000.,,,ALGO,0.001,AQ57ZVW6GHDVFZ2NQVIJACZGHJTSJUU6SGM24OYNVDWISLOH6KTA,Sender,QYXDGS2...
2023-06-28 15:36:5,axfer,,,USDC,10000.,,,3NTCKYLGXNGHLJ5PPP3YBCAWPOHQADSRVDVLC3LPK7U2BEO4SW2A,Receiver,ZG54ZBZ...
2023-06-28 15:39:02,axfer,USDC,10000.,,,ALGO,0.001,4V2BKKZ4ZCX3FLQW6X5C24RFZBFLJ4W2ZNMGXX77DKLRNDISKFRA,Sender,QYXDGS2...
2023-06-28 16:16:11,axfer,,,USDC,10000.,,,7UMSANN3ERBP7T6WOGAREWXT4ZRQDRN5DDUTLTDZM3LSLDEKUQMA,Receiver,ZG54ZBZ...
2023-06-28 16:19:01,axfer,USDC,10000.,,,ALGO,0.001,TSCTJCDEZK45JJCZEXN7FELRZBBHQVSH2BFZSU2RDZF2WEPCG5SQ,Sender,QYXDGS2...
2023-06-28 20:58:21,axfer,,,USDC,10000.,,,EYW5GH3CZKHV2GFXWUA5JE7AJMOD6VYILIMH4OHAWM2OVPVCWFRA,Receiver,ZG54ZBZ...
2023-06-28 21:09:02,axfer,USDC,10000.,,,ALGO,0.001,AF7C5ZUHWU6ZQCMR4RVXMXB7MNXHQE2BVQWVNZ3TFQ5ZF23OWLDQ,Sender,QYXDGS2...
2023-06-28 21:46:57,axfer,,,USDC,10000.,,,XL2BMKPUCUS22BCYIZZ5VXY4PMQKV7BZVONI7NFKVTWZT22VYXDA,Receiver,ZG54ZBZ...
2023-06-28 21:49:03,axfer,USDC,10000.,,,ALGO,0.001,73GKLQIGR47CACVXQRWNWQLOQFZKOLICQJ4JR4XDWMBC2CSQIVIA,Sender,QYXDGS2...
2023-06-29 03:31:46,axfer,,,USDC,20000.,,,6DIN6464UUGBHUAFCVSK3IJAQ2HR6MDS5WKBQQAY4276KFZHM7GA,Receiver,ZG54ZBZ...
2023-06-29 03:32:33,axfer,,,USDC,20000.,,,I73QW7G5BNAHJYY4KPBV65E4PDCJYJCGCE6VEFN6W2HT5ZAYZMQA,Receiver,ZG54ZBZ...
2023-06-29 03:39:02,axfer,USDC,40000.,,,ALGO,0.001,II3XV4YVNVCDTSZYYRYAD3TJFMFQ56TMY4AZ3FZWTR4GEGUSDH2A,Sender,QYXDGS2...
2023-06-30 21:47:1,axfer,,,USDC,20000.,,,ORKBG7ODCIXO5WA4VA2V5XB6OCG5ZOKSXUAZEJE2PWIGKR7DAHUQ,Receiver,ZG54ZBZ...
2023-06-30 21:49:,axfer,USDC,20000.,,,ALGO,0.001,HXQ34KFRITR46LS6B7VWCIFGXX226P5QPQUWHJOQ4STMDT6WHKSA,Sender,QYXDGS2...
2023-07-01 21:41:55,axfer,,,USDC,20000.,,,F2A35NRWOGQIWZONL2YWRIUQQCPOGBCO3IVFOTO7LEUOQ6TKJDEA,Receiver,ZG54ZBZ...
2023-07-01 21:47:02,axfer,,,USDC,20000.,,,HD2U3MMOQIEU3LF2A4NEKX463DUB6KVJHNTNQBPDCYIQ3Q7WGOZA,Receiver,ZG54ZBZ...
2023-07-01 21:49:02,axfer,USDC,40000.,,,ALGO,0.001,JVEGCNGYPKWIDS6TEUZRRKLZQKSZCYEAJFO427227HR6XV2UBBSQ,Sender,QYXDGS2...
2023-07-01 21:56:13,axfer,,,USDC,20000.,,,SWAMGS4MGTCMUF3JFTDQQVOVRGC52MLHL4EYDXG5JI2ICMDZ5LFA,Receiver,ZG54ZBZ...
2023-07-01 21:59:03,axfer,USDC,20000.,,,ALGO,0.001,GFK4CRLL6AFANFBJ2OEGB2FOCPKA3OLKNV2NI6RQL23OV6MCYPRA,Sender,QYXDGS2...
2023-07-02 11:45:29,axfer,,,USDC,20000.,,,KUK6J3UBJHYM5NKK4HPE7HHK5OOB2TURWMVEHNCKDEXLPN77ZXJA,Receiver,ZG54ZBZ...
2023-07-02 11:46:13,axfer,,,USDC,20000.,,,JUR3JAMRCQJQNOKJS5S3XYLY2PEIEAE7F2ASFNEWOFWLGILYYQYA,Receiver,ZG54ZBZ...
2023-07-02 11:49:03,axfer,USDC,40000.,,,ALGO,0.001,EEHQ64BL5DMAY44ZHDDBC5XWF5DCB2LX4FBXZ25KMVHOVURXMBGA,Sender,QYXDGS2...
2023-07-02 12:09:46,axfer,,,USDC,10000.,,,KKMAAVEQCTVKML7IFAU6FARXPBN265PDVF6UMURD2QPQPOGDAHOA,Receiver,ZG54ZBZ...
2023-07-02 12:19:02,axfer,USDC,10000.,,,ALGO,0.001,V7XMGDLB6NI7W4J26PGQMIARV66LHUFH4BM47UGCJRBRWO6GBDRQ,Sender,QYXDGS2...
2023-07-02 20:53:21,axfer,,,USDC,20000.,,,AIMDV4VT2W5YSKHDUCZA35UNNL5CZ4YIF5JDL2CLVJIS2LXRGVSQ,Receiver,ZG54ZBZ...
2023-07-02 20:59:,axfer,USDC,20000.,,,ALGO,0.001,HLKUK74WIWKKVL4GY6MCYPKIPJOUGEG5RZ3OJOUHDUDIUPSO7ETQ,Sender,QYXDGS2...
2023-07-02 21:32:24,axfer,,,USDC,20000.,,,SZEUNIZ566CNK7UVMP6IMHXQBNLMS6EJOG76SB4FM5YRAGESBUPA,Receiver,ZG54ZBZ...
2023-07-02 21:39:03,axfer,USDC,20000.,,,ALGO,0.001,QDCYF7EEIVGOYNFYSDCTVR3NY6ELNUNY5DCDB5LB5TEXTP6AOSTQ,Sender,QYXDGS2...
2023-07-03 08:14:22,axfer,,,USDC,20000.,,,FFJYHKYZ5OWZM4U43L3O2A276ZQE7DUWSCO3ZMUTC7O3HKH6IZUA,Receiver,ZG54ZBZ...
2023-07-03 08:19:02,axfer,USDC,20000.,,,ALGO,0.001,A2LQTQP43VDLF7NMTJPBL63O75ULHHWUEQ3MOT4O4R4BQ2YJEDNA,Sender,QYXDGS2...
2023-07-03 14:40:33,axfer,,,USDC,10000.,,,5O4UNCZTI34J6UF5F3XZNJW4WRFBFKYP6SMGYSICZ7MT4BOJLKZQ,Receiver,ZG54ZBZ...
2023-07-03 14:49:03,axfer,USDC,10000.,,,ALGO,0.001,SCLM4YFWHW35QONEPSIYVOIFF76WEDTJWXTR6H5YIU2WM62RRLCQ,Sender,QYXDGS2...
2023-07-03 20:07:43,axfer,,,USDC,20000.,,,DSYZW7ZGY4ETP5Q6DRRSAPUQWSQEDQZYTNLQ7E6KII7QOWPITM5Q,Receiver,ZG54ZBZ...
2023-07-03 20:09:02,axfer,USDC,20000.,,,ALGO,0.001,TRHL4NTWHNBC3H5JBN3B6VS43C2O46MOTLEC5I5BVY7GH5IHV5SQ,Sender,QYXDGS2...
2023-07-03 20:22:05,axfer,,,USDC,20000.,,,H6FB4UBINI27QBRTCWJBT6EBI3AYXFUKGYTDKHZPNTSDVPI7FNIA,Receiver,ZG54ZBZ...
2023-07-03 20:29:03,axfer,USDC,20000.,,,ALGO,0.001,BAKDAIAK4BEMY5IQ7JVRL5TZ4IPOJF3ROZC4T2PHPJPWJ26V32NA,Sender,QYXDGS2...
2023-07-04 05:25:05,axfer,,,USDC,20000.,,,T6OAOFHWQLGH6P6QI5XXAJZURZ4FJWRQJ75HW4XWGECCV7O26JIA,Receiver,ZG54ZBZ...
2023-07-04 05:29:03,axfer,USDC,20000.,,,ALGO,0.001,URZJHYORGJP6CGRL4G3M66FFNFN2KUSS7QNQVWVCH4TE7YIDUWHA,Sender,QYXDGS2...
2023-07-04 06:44:55,axfer,,,USDC,20000.,,,5L6JOPKRGVEUDC563N2PT4NTOK5REFSVY2KMW2EMGBGJGAWIXCJA,Receiver,ZG54ZBZ...
2023-07-04 06:49:03,pay,,,ALGO,0.021,,,7S47LDJKMBUBSN7RLHDI4JD6XVNETAQYZZWCL554OHNERW23HQBQ,Receiver,ZLTOJBS...
2023-07-04 06:59:,axfer,USDC,20000.,,,ALGO,0.001,5T7VYWYBQAKTZOR5YYO4U7ZDDLYB564LKCXN3XRRAJQEFYEP6LFA,Sender,QYXDGS2...
2023-07-04 08:02:54,axfer,,,USDC,20000.,,,5S3PFEXOSNQLNDUDCFJLGTV3H7OYYX7JYAEDQFNGTCI6NWXWD2PQ,Receiver,ZG54ZBZ...
2023-07-04 08:09:03,axfer,USDC,20000.,,,ALGO,0.001,XBRAZBZGEYOEBDMIFJGTKASTMGMGRQ4CPHOAXDM7RQIXGFORCXOA,Sender,QYXDGS2...
2023-07-04 08:51:47,axfer,,,USDC,10000.,,,GF4NOPQOVEYBX47OGNGVPYJH6O4QNZDM4PYRSRA67UB4TLR5V5DA,Receiver,ZG54ZBZ...
2023-07-04 08:59:02,axfer,USDC,10000.,,,ALGO,0.001,TB3HS7VPZMZEZU7GG7TJP3INRIOT6ID2W7Y455IS5E4VIB5JYB5A,Sender,QYXDGS2...
2023-07-04 12:54:02,axfer,,,USDC,20000.,,,LYWMI7QSWIWYKOQ2IGMLREFVBVB2TL5MBQZS2X4CVXVKGHRCUVLQ,Receiver,ZG54ZBZ...
2023-07-04 12:59:03,axfer,USDC,20000.,,,ALGO,0.001,IM2NXK2ID3X7P4IDMQTOWIFMKUC2LFAWJSD4NBJ566AFR3LX6LTQ,Sender,QYXDGS2...
2023-07-04 21:25:5,axfer,,,USDC,20000.,,,D5QQGCSGZLZJ5ECPNRYZNT3ALVHPATYXZ4ZJSLRGMJYS6CYPMTJA,Receiver,ZG54ZBZ...
