time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2023-05-23 21:47:17,pay,,,ALGO,0.201,,,(Group- Tl2hg...) - C5G2KJ4NXSBJWS6W2GRHXM7VYJBZHJXTPC5TQN4VRSD4R3QRQ7WQ,2 txns.  ,ZG54ZBZ...
2023-05-25 03:04:47,axfer,,,USDC,551.,,,DXXYSNFWQYL6DJEPFWTIJ4EOP5MZGYZKAHFLXIMYOLM6LCCUKMLA,Receiver,ZG54ZBZ...
2023-05-25 03:04:58,pay,,,ALGO,0.001,,,(Group- fSwfN...) - QX32R7IWYETPGKEIDPDLS3FWUR7MDNUW7UJF2T44CQAWD2R7C4RA,2 txns.  ,ZG54ZBZ...
2023-05-25 03:04:58,axfer,USDC,551.,,,ALGO,0.001,(Group- fSwfN...) - IF5B2ZUVEKUZQ346J5P6XEASP75IRHAMORF6DSCKWUCSFZHKDE2Q,2 txns.  ,ZG54ZBZ...
2023-05-25 03:08:32,axfer,,,USDC,3501001.,,,RF77AVG2RFMHZFZATNFOGAWYQIPAABXEVUCJIOSH6HOQ2LWC22BQ,Receiver,ZG54ZBZ...
2023-05-25 03:08:43,pay,,,ALGO,0.001,,,(Group- HFXg4...) - H7BHF4DGWKIKZ75BTYFBVCPQDNFYFR43SMFJHRIX5DJJJA2BNPQA,2 txns.  ,ZG54ZBZ...
2023-05-25 03:08:43,axfer,USDC,3501001.,,,ALGO,0.001,(Group- HFXg4...) - ZI57EROT7DDZKJMUNH5ZT7ASDY7FBQFFGSU3QJOZQCVQMZGIU5KQ,2 txns.  ,ZG54ZBZ...
2023-05-30 17:17:39,axfer,,,USDC,2700000.,,,WOPQQLKKLLZGIP24V7H6T76DTMJY2HY65YKBVJTTWX2USE5PIH3Q,Receiver,ZG54ZBZ...
2023-05-30 17:17:51,pay,,,ALGO,0.001,,,(Group- FY59n...) - DPMU7KVPMCJCBMDXJLNQKWWXZHY2QI5UN3ATK2PN44HN2P5WYTQA,2 txns.  ,ZG54ZBZ...
2023-05-30 17:17:51,axfer,USDC,2700000.,,,ALGO,0.001,(Group- FY59n...) - F67OXGCS6EAOFJ37NTDHJTPCANBIBMLSCQNO2VC42QZWCEGUXEKQ,2 txns.  ,ZG54ZBZ...
2023-05-30 21:42:16,axfer,,,USDC,1000000.,,,EZ5YCD6EAHOXXY54BKCNWCKKKJLFN6S7VFCZBLDPS5CGLRZ5ZUZQ,Receiver,ZG54ZBZ...
2023-05-30 21:42:27,pay,,,ALGO,0.001,,,(Group- JgsxY...) - W5XQLDMRMFEP5LGAESROQ3XJTAZJ2AHUUZGJEE2TUQYFKO6OLGFQ,2 txns.  ,ZG54ZBZ...
2023-05-30 21:42:27,axfer,USDC,1000000.,,,ALGO,0.001,(Group- JgsxY...) - O4R7Q4IB7QZNUTAF743ZTT27ULPJ2AD5MN3HWD5NKOV5WKZDTX5Q,2 txns.  ,ZG54ZBZ...
2023-05-31 04:44:31,axfer,,,USDC,1000000.,,,L5VN4M3BAPSP2677D2DJAGQMPHSHINZ5KGNAYR45THHIL4R44COQ,Receiver,ZG54ZBZ...
2023-05-31 04:44:42,pay,,,ALGO,0.001,,,(Group- UxNk7...) - JSGLOMKN3J26IDAX252GQSFNADJ5IYVPNOAJSOJZ67NALK25BREA,2 txns.  ,ZG54ZBZ...
2023-05-31 04:44:42,axfer,USDC,1000000.,,,ALGO,0.001,(Group- UxNk7...) - M47ZZOGCXLNW66HHBAXCUBLFX3MWJ2PI5HEBAKFGRYXJXZVDXK6A,2 txns.  ,ZG54ZBZ...
2023-06-01 01:33:02,axfer,,,USDC,2000000.,,,GT4L7CA3FPHGRUUTM6UWWY3XWTMCYWDMBON3MOWOHOZ6GQXD6FRA,Receiver,ZG54ZBZ...
