time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2022-07-20 20:09:18,pay,,,ALGO,0.201,,,(Group- kuFYt...) - 5C3SIMM7TDTCK3P37FQNWFZDQ2C3C4S3HSAKBNMIMY3GTAGZXCNQ,2 txns.  ,ZG54ZBZ...
2022-11-22 11:30:13,axfer,,,USDC,0.5,,,YC6AKMINRC6UZ2JZQZ4NCQOHJBBQ6MLKWCL2CCIWNWSFIDL6ELTQ,Receiver,XVG3YG6...
2022-11-22 11:30:24,pay,,,ALGO,0.001,,,(Group- gWEYv...) - M2FV4LY7WP365SUK2CN53F2H2IZRUKMD5RCEZWDEB5S2TKLAFQKA,2 txns.  ,ZG54ZBZ...
2022-11-22 11:30:24,axfer,USDC,0.5,,,ALGO,0.001,(Group- gWEYv...) - HCQDNHL2W2OUIWVM5AF2OJILSTJQH3GZ5GLYB36JZSVYCM55J3KA,2 txns.  ,ZG54ZBZ...
2024-05-17 22:54:13,axfer,,,USDC,10.,,,VGYUEPKGBYEN2YOZBXDCOD53QXURKLMH44GC4P5XVQCH7MDKFUIA,Receiver,ZY76E5S...
2024-05-17 22:54:22,pay,,,ALGO,0.001,,,(Group- e3Yer...) - BO4PPO7DNXEGERNHEVXKKZM5BUKSLIVBKJ3HEJFUP4GNCAPJVQ6A,2 txns.  ,ZG54ZBZ...
2024-05-17 22:54:22,axfer,USDC,10.,,,ALGO,0.001,(Group- e3Yer...) - BUBN5CPBGCO4UW2E4R6WMRCLYXU2TE6X3TTVL5VXWXLGN32CHN6Q,2 txns.  ,ZG54ZBZ...
2024-05-18 01:30:45,axfer,,,USDC,58271.923114,,,3EMDMLMSVTDEGSCL5XP4RZRPHRWUTC6C4KQIH6F3NTUJFKEEKGCA,Receiver,QYXDGS2...
2024-05-18 01:30:56,pay,,,ALGO,0.001,,,(Group- Vof5w...) - DHURM76Q5QP3YBYBDXDC4G47R2PQ57QBQZAXDHUAXEWCSLTOARQQ,2 txns.  ,ZG54ZBZ...
2024-05-18 01:30:56,axfer,USDC,58271.923114,,,ALGO,0.001,(Group- Vof5w...) - 3EEXYNOMYFGJF2YZXOYUM57745XQQJNXTT4ZIGNUSY7GDCKTHK6Q,2 txns.  ,ZG54ZBZ...
2024-05-18 02:30:5,axfer,,,USDC,139594.487884,,,4EDJEOSVQRFW4JCAMHFICTT7P3G24YRXIVXB3FP445LOA2BIXQIQ,Receiver,QYXDGS2...
2024-05-18 02:30:55,pay,,,ALGO,0.001,,,(Group- Y0Jua...) - A3FH6WGCAXXXWW7VV47IQQ2VOFNWAWUG7FXEHCOPY4HGCQQW4T6A,2 txns.  ,ZG54ZBZ...
2024-05-18 02:30:55,axfer,USDC,139594.487884,,,ALGO,0.001,(Group- Y0Jua...) - 6VU6YK6SJ5EAWFGILDOPVWNQHCNXZCNVS4LCEGU6ZB6VGHZ2KOMA,2 txns.  ,ZG54ZBZ...
2024-05-18 03:30:33,axfer,,,USDC,31788.631602,,,OJBLLE7HW73GOGXTMTRPSFYM2SFGHWDNZQ2IRHUYDBEBNXULIG4Q,Receiver,QYXDGS2...
2024-05-18 03:30:42,pay,,,ALGO,0.001,,,(Group- wO0N5...) - FAHRTSBQISPU3KBT7NSY4CDVPUCVN6R2LF5KBV4IIDJNFE3EVFMQ,2 txns.  ,ZG54ZBZ...
2024-05-18 03:30:42,axfer,USDC,31788.631602,,,ALGO,0.001,(Group- wO0N5...) - 6W623CM3O7ZEAOXV4RWLHXU6CDHF6WLEEGQHCI2MZKJBSWQJWMSQ,2 txns.  ,ZG54ZBZ...
2024-05-20 21:30:33,axfer,,,USDC,122374.692942,,,7GJRSNBXSW4IELHZLO6HGH4PBDHKWJTV6QTTX2I6NUXXTJOC2JSQ,Receiver,QYXDGS2...
2024-05-20 21:30:44,pay,,,ALGO,0.001,,,(Group- KjB6Z...) - IT56A4BRAV726O2Z3XD5AT7PRHSAHUB4CAC6CCTIQJSM3SKVAG5Q,2 txns.  ,ZG54ZBZ...
2024-05-20 21:30:44,axfer,USDC,122374.692942,,,ALGO,0.001,(Group- KjB6Z...) - NFS5GSAHH7PSUEN5OOMECX2IQ7FGGKTXE5CRPLCRC2CDKC7C76HQ,2 txns.  ,ZG54ZBZ...
2024-05-21 00:30:34,axfer,,,USDC,133464.096322,,,XWDYVZNJHLXIWFZJLMOM6COZR27AXQ4NPKCJA3MOVOR3BMBLC2KQ,Receiver,QYXDGS2...
2024-05-21 00:30:45,pay,,,ALGO,0.001,,,(Group- nSkaj...) - RHXPY2U5PUYYYLQALWCSFLFQWSBKDDHV3MMCY6RO2J6XEH2W2SDA,2 txns.  ,ZG54ZBZ...
2024-05-21 00:30:45,axfer,USDC,133464.096322,,,ALGO,0.001,(Group- nSkaj...) - RO2N4SQRSCZ4EDLGCIIXH3KGNLN7AW5FKXU4VIT4KB3OA3PWFLPQ,2 txns.  ,ZG54ZBZ...
2024-05-22 00:30:35,axfer,,,USDC,82417.601544,,,FZRBVC2EDMRJZXYWSUDNQ7E2PSH5IVMHUTLDHC765C7MKQOFFJAA,Receiver,QYXDGS2...
2024-05-22 00:30:47,pay,,,ALGO,0.001,,,(Group- jS9Pw...) - X7VZOEB67NV2DO2OPPBLQPGHHR5QADP7SUL527DTRVMZLIBKGDTQ,2 txns.  ,ZG54ZBZ...
2024-05-22 00:30:47,axfer,USDC,82417.601544,,,ALGO,0.001,(Group- jS9Pw...) - 5QFZ46V7AAYAVEYEDYMXNKOUE5S2ADKONLWPQMVX3PRWLLQFHI7Q,2 txns.  ,ZG54ZBZ...
2024-05-22 21:30:33,axfer,,,USDC,149847.219687,,,TCKUEOD3SKWQC3PWWZIRZDM6T64L3MIF35W72XNXTP7PYWB3YFCQ,Receiver,QYXDGS2...
2024-05-22 21:30:45,pay,,,ALGO,0.001,,,(Group- P/CIQ...) - DXYHNZDKNBBW57MP733IUQ34B25O65PVYDQV3FD7X7OSK5FR3KZQ,2 txns.  ,ZG54ZBZ...
2024-05-22 21:30:45,axfer,USDC,149847.219687,,,ALGO,0.001,(Group- P/CIQ...) - JYUKXBAR2AQ3RHTM4LI45ZVUKLUEDIEAT6N4QYFD7Q4AYBQ6HYXA,2 txns.  ,ZG54ZBZ...
2024-05-23 00:30:35,axfer,,,USDC,49291.290793,,,3MEAYK2IS3HGUG2OE53PBMSHXSRXN54F6VVZRQNALTWMOR3XXNGA,Receiver,QYXDGS2...
2024-05-23 00:30:46,pay,,,ALGO,0.001,,,(Group- rXc1y...) - EFXYMSGCKZGZQ5YTBJ5UD23YGCGQC54WGO5YZJADWF44D4Y6XTAA,2 txns.  ,ZG54ZBZ...
2024-05-23 00:30:46,axfer,USDC,49291.290793,,,ALGO,0.001,(Group- rXc1y...) - JGCM3XOK46SUUFHX7IOZQDFQUKGRW6AKREUWGYZHFLYONMN7ZMQQ,2 txns.  ,ZG54ZBZ...
2024-05-23 01:30:34,axfer,,,USDC,68149.63195,,,IC66Y6EMOAPGXGHVI4TUOKW45J5JCZ5P3MMG6QMRN7AYVXUZ2FKA,Receiver,QYXDGS2...
2024-05-23 01:30:46,pay,,,ALGO,0.001,,,(Group- N2T0j...) - 4LWBHC3BH6TTYUMYNPIMECXDCAYK2OCA66OZEB3OQ6YWWIWP5BFQ,2 txns.  ,ZG54ZBZ...
2024-05-23 01:30:46,axfer,USDC,68149.63195,,,ALGO,0.001,(Group- N2T0j...) - ATPIJJFBB7KRPIEC6DM67DV2XEGVVQYWF6RSIKQOQNLNWYXCRUXQ,2 txns.  ,ZG54ZBZ...
2024-05-23 02:30:35,axfer,,,USDC,56575.632147,,,PZPKP2L4VFPBBQNNEHKJGBL4PR7LVVRXNDY5SBQF7X3Q7E6F7Q3A,Receiver,QYXDGS2...
2024-05-23 02:30:46,pay,,,ALGO,0.001,,,(Group- D4q59...) - C2AOJ2AEY2GQGRKGOXHHRXEKDOOXFOR566DLQODZF4BBP3JQN7NA,2 txns.  ,ZG54ZBZ...
2024-05-23 02:30:46,axfer,USDC,56575.632147,,,ALGO,0.001,(Group- D4q59...) - LC4ZDKVNCAGMWDJAUUN4346IITRAXOW2IZ35Z5BMJI7MOQMTQ7IA,2 txns.  ,ZG54ZBZ...
2024-05-23 04:30:35,axfer,,,USDC,8283.384,,,RTYNGFDOID47QDBI7NF6EQQ2N3LLG4X2IKKIHAVWCGIRD5TAMOKQ,Receiver,QYXDGS2...
2024-05-23 04:30:46,pay,,,ALGO,0.001,,,(Group- +yapP...) - XYFUGFQSR4SSW43RYQV54MOPPDW7RFIIG2QAXEXQUCYWPUC55G2A,2 txns.  ,ZG54ZBZ...
2024-05-23 04:30:46,axfer,USDC,8283.384,,,ALGO,0.001,(Group- +yapP...) - JI2YLZSGKPSO2L7BZSSVCUXR3FHA5F22EZOBRRPLIYYSUZUOD7BQ,2 txns.  ,ZG54ZBZ...
2024-05-23 21:30:35,axfer,,,USDC,78917.67675,,,XZVRSZUMN5IMZJUCO2QAEI3DP7E4WLI2PKPF6JUITUPG3MUY4RGQ,Receiver,QYXDGS2...
2024-05-23 21:30:44,pay,,,ALGO,0.001,,,(Group- HSmaH...) - 3W5J5IPNA4FUNMHO2J5OQOVGLPDH3DHHLFZBKKOLNMX5TVAERT2Q,2 txns.  ,ZG54ZBZ...
2024-05-23 21:30:44,axfer,USDC,78917.67675,,,ALGO,0.001,(Group- HSmaH...) - 5L76A2V4QWSANK3K66FLUPSOAESFQWHSGLSHURNOIW72BWURWDDQ,2 txns.  ,ZG54ZBZ...
2024-05-24 21:30:33,axfer,,,USDC,59906.403451,,,ZIY2IHTKHN2MRTD76SFYI2XTC4JSEZPZYW52OASIO7GVIQSJFXVQ,Receiver,QYXDGS2...
2024-05-24 21:30:45,pay,,,ALGO,0.001,,,(Group- cul4H...) - YE6MRKHZ3T2M43X6LWOQMEN33AEOPFZ43EQKLMYDRIEBLEWJDIWQ,2 txns.  ,ZG54ZBZ...
2024-05-24 21:30:45,axfer,USDC,59906.403451,,,ALGO,0.001,(Group- cul4H...) - BRF4JTBDRDOCTA3D66AWP45OE6PRYJFZPAOODSLCI725ME7PGKCQ,2 txns.  ,ZG54ZBZ...
2024-05-24 22:30:34,axfer,,,USDC,49921.757985,,,652I3EGZ7G76N4ACY7B2V3MM5OQ4AEHV6O2L7ZPPO6FE3JNXFHGA,Receiver,QYXDGS2...
2024-05-24 22:30:45,pay,,,ALGO,0.001,,,(Group- zXTCi...) - XG4X7EK3EKJUU2XE3SOIZCD4EYYVLIVHVR6RMXSPTMCK52C5LDAQ,2 txns.  ,ZG54ZBZ...
2024-05-24 22:30:45,axfer,USDC,49921.757985,,,ALGO,0.001,(Group- zXTCi...) - B3TR3D2RNEOPMGQ4VCR7UGVPAY6OIVV4QWO4MNBQF22E6SW34SYQ,2 txns.  ,ZG54ZBZ...
2024-05-25 02:30:35,axfer,,,USDC,252997.509718,,,7R3OGUXALEC6MMMLA7LMSAKBMPBFIYKVR7VCFI6GLY5PV26O3QHA,Receiver,QYXDGS2...
2024-05-25 02:30:46,pay,,,ALGO,0.001,,,(Group- rgkqu...) - RNCFMHNPWM4LNHH3O4GJM2EVKGMGTQOLBP5ZYMCMVWJKUIKM33YQ,2 txns.  ,ZG54ZBZ...
2024-05-25 02:30:46,axfer,USDC,252997.509718,,,ALGO,0.001,(Group- rgkqu...) - 7E4JJZDVKP5OFFVUXHGMRNMDPVTDM72Q5R5TM5OAF2RMI6IU6STQ,2 txns.  ,ZG54ZBZ...
2024-05-25 03:30:24,axfer,,,USDC,28071.929404,,,Q7PFKXSHS6ZJGFVIEPYWEXDRKACBC45XGJXGCJGDZHA7GSDIFUYA,Receiver,QYXDGS2...
2024-05-25 03:30:36,pay,,,ALGO,0.001,,,(Group- uh6po...) - O2TTVA4XOTJMUP4MP32COTYQOHZDYAVTT45ZR5EILQZFLTVXYEGQ,2 txns.  ,ZG54ZBZ...
2024-05-25 03:30:36,axfer,USDC,28071.929404,,,ALGO,0.001,(Group- uh6po...) - N6IANQE6HP7WYFKU4CAOB6YCWRQPCJSUHLEBMFDJDIQZ6QXSSO2A,2 txns.  ,ZG54ZBZ...
2024-05-27 21:30:34,axfer,,,USDC,137433.342636,,,PD7KL66HKUDKI54HVEF6564JIGW7WST7OB2SYTXPLR7W3TD7MVAQ,Receiver,QYXDGS2...
2024-05-27 21:30:45,pay,,,ALGO,0.001,,,(Group- ioJe0...) - S7D23NUDOZ5C3UNQFV6RL6U6OSINLY5P5JV3GE4W4S63OM3QWDRA,2 txns.  ,ZG54ZBZ...
2024-05-27 21:30:45,axfer,USDC,137433.342636,,,ALGO,0.001,(Group- ioJe0...) - GYEJBT3ABSGTNJBO72PG7YHKUV2NVGZPBPGL3GSTWTPAO7UWF4EQ,2 txns.  ,ZG54ZBZ...
2024-05-27 21:35:48,pay,,,ALGO,0.00006,,,(Group- YsF/B...) - 6XPCHBUJPKILZ5OXJTN7V6TCPU7GYAK4XFDZMM5EMGPLMVPJSFUQ,1 txns.  ,MDPZZXT...
2024-05-27 21:35:53,pay,,,ALGO,0.000013,,,HV7IGZTZMUA2TYF3RNMTRK5XUDLUWRLXHELOZJUSFNVJYSD6I4ZA,Receiver,WARN666...
2024-05-29 00:30:33,axfer,,,USDC,134801.609545,,,C2ZKWQPDDNFC3MKFGCFSSKHDOK5EW2RVAEP5YLGKCIARKLME6UCA,Receiver,QYXDGS2...
2024-05-29 00:30:45,pay,,,ALGO,0.001,,,(Group- AgTj1...) - QMZS6YLSUDPJHQ6ZJ3YVKKMJZCQAOMSDMK6W4QO3TZXVAK4A66UQ,2 txns.  ,ZG54ZBZ...
2024-05-29 00:30:45,axfer,USDC,134801.609545,,,ALGO,0.001,(Group- AgTj1...) - XUWG236O37ZKXHIVAT6JEEYULKFO7VPRKGHFZDZHU3VHFRQA5YNA,2 txns.  ,ZG54ZBZ...
2024-05-29 00:35:46,pay,,,ALGO,0.000083,,,(Group- aKv9v...) - HU7SUNC23PRV5RKL5ATURJ6STRRZBZB4BSDSDSOB3IMOLL2GPFKA,1 txns.  ,XRPKW6O...
2024-05-29 00:35:52,pay,,,ALGO,0.000013,,,K6R2LHUNZ6F5Q4N6SIO36DTNCWIMYRHCNSI7Z6ACQ4YKU6SFQO6A,Receiver,WARN666...
2024-05-30 00:30:33,axfer,,,USDC,139173.288854,,,P7GZPUKPGAKK54Y2CDE6YGPVCQ3G4LUPDA7K753DGNPQTNOHVPPQ,Receiver,QYXDGS2...
2024-05-30 00:30:45,pay,,,ALGO,0.001,,,(Group- WbWeX...) - BK4NKQ4ITCCGD44N5YDF33YM4WTQRX7KKBC2RWVNFGZS72PQSN7A,2 txns.  ,ZG54ZBZ...
2024-05-30 00:30:45,axfer,USDC,139173.288854,,,ALGO,0.001,(Group- WbWeX...) - IRM7HE6H3FFDCKP5P6AWM6R7MZONP2CHFUVWNHX7EWT3VXC5RSCQ,2 txns.  ,ZG54ZBZ...
