time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2024-04-17 22:20:13,axfer,USDC,1200.,,,ALGO,0.001,XUNGSLLZCPSSF2JYESTW2D7T7SQ6SG5FZGJKRHV4SZDOO46WJ7EA,Sender,ZG54ZBZ...
2024-04-17 22:42:04,axfer,,,USDC,0.,,,PSLSACEWOK7DNZ372I55G46NZI35DLRLFOL3DWOSBLINFPOMLACQ,Receiver,LJXQHXB...
2024-04-17 23:38:47,axfer,,,USDC,0.,,,S7SNR23QDNEIDJQNGCPD6YOCXPLC5OQTOGII76MACLETK7NZQU4Q,Receiver,6C4AH7A...
2024-04-18 00:08:23,axfer,,,USDC,2932687.06,,,V4JNZZGZNARK7AHKSFVGZE4VPXD5AGQQWMJW7ZHJFT5Z3245OPEQ,Receiver,ZG54ZBZ...
2024-04-18 03:07:5,axfer,,,USDC,0.,,,FAL3Z6MIBLLOTFK3CKRA6ZJEH6ROAYGM5JUM4RCU7BVQDNHXIEFA,Receiver,2NLO3KC...
2024-04-19 02:57:11,axfer,,,,,,,PXWCWZLZDO3MKK3TAOCK55ULENBPVF5RRIIVVKTHUJ5XW66SUFVA,,
2024-04-19 02:58:35,axfer,,,,,,,PSKVZVQLT2ET54VGTBR6BZZKOILN7DXNLG4SKRTGKTBMNA3PFK2Q,,
2024-04-19 04:53:24,axfer,,,USDC,0.,,,U76T75WICWTECZP45CVNYU5FWGJ72U2I74DDS22CDZDQMCX2M75A,Receiver,OA7W67G...
2024-04-19 05:15:54,axfer,,,USDC,0.,,,M7PTJIVX4ONVOFGSAR4WNYCBXV3CYUDM2X3EASEDILJK6W34D4IQ,Receiver,FZNQEIH...
2024-04-19 09:13:5,axfer,,,USDC,0.,,,VAKFV4WW2ALFKLHU22SBHJA6BJRJUYO3GNVSXUNQBKNPCVX7NPWA,Receiver,L35W5FQ...
2024-04-19 11:23:32,axfer,,,USDC,0.,,,UEDWS7REP6KAR2ES6RIIZXGVIWVAYIO7MGZWIN6D2CGRHAXEIDJA,Receiver,TSE3AC4...
2024-04-19 19:35:25,axfer,,,USDC,0.,,,IOZWX2Z4ETKDQH4Y5MCVISVRHGAMGI5OQCRBLBFFB7KW5VQHPVRA,Receiver,P3P4G7W...
2024-04-19 21:11:08,axfer,USDC,21000.,,,ALGO,0.001,OZUBNBMMAEVZUZL2HMCRKRW5ERHJXN3KX72KFZ2KQ7ZSZGNTNBNA,Sender,ZG54ZBZ...
2024-04-19 22:46:25,axfer,USDC,4063785.71,,,ALGO,0.001,SILDI5ASU7IK5XRTIRUJFG5UCMVMUNEPBWVOFRCLZK5CI5D62HQQ,Sender,ZG54ZBZ...
