time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2024-05-31 09:00:18,pay,,,ALGO,0.000013,,,6INJSAQTEX2EYYQYO3S73TD5H6HQBWODRGVAYYQSJVN2MRGU2OAQ,Receiver,WARN666...
2024-05-31 09:00:52,pay,,,ALGO,0.000071,,,(Group- tcn10...) - 2PYG3PAPH5NLQISEC2E5CX7XF5X5H4UW77WHIU242U7FURNB7LBA,1 txns.  ,Z4SHQPO...
2024-05-31 09:00:58,pay,,,ALGO,0.000013,,,CHXLGT2M6XQPMGA6XHWWVUWYWIOHGJL26NDNGBNY6QPCZEEPQI4A,Receiver,WARN666...
2024-05-31 10:23:38,axfer,USDC,322580.34,,,ALGO,0.001,7YTEZNXMXGVOTNQ5F2I5VJYSEFUJBZVI6IVQPK467HNC2MHCLHZQ,Sender,2UEQTE5...
2024-05-31 10:28:44,pay,,,ALGO,0.0001,,,(Group- Meb3T...) - GJS6UUYXDCKFHPIY6Y2B54TF5SWHBA2Y5HR6NCDSNVUZEYAX5BKA,1 txns.  ,FKTF7RL...
2024-05-31 10:28:5,pay,,,ALGO,0.000013,,,V5E3IEYHT2D5DHXQ3OFOG2OMV6CGDYZYK4Z5SVLJ5REKZIGEALFA,Receiver,WARN666...
2024-05-31 13:25:41,axfer,USDC,32059.,,,ALGO,0.001,6TO746JQ3D2XSY7A5QDA5ZEPWVMZQOQIOJ6MX2UPHSBKHULEDIWQ,Sender,EP3B4JU...
2024-05-31 14:42:18,axfer,USDC,4.31,,,ALGO,0.001,KXX35WU5CXFW65U4Z3T3JC572JNJVHAKP46H5MPUB32XI2UBNMHA,Sender,BOTNRYK...
2024-05-31 18:15:48,axfer,USDC,39600.,,,ALGO,0.001,VKDRLGFANLXVIOVXMJBFVPW3W2RWO3ZXCQPHNDDRO635WK6BWILQ,Sender,DZBYGES...
2024-05-31 20:58:11,axfer,,,USDC,6198313.41,,,KYNIZ6XVGP77UI4ULWOCVMLXF4ZQX7EBCM7YV6MA3MU3GHLQRHNQ,Receiver,2UEQTE5...
2024-05-31 21:11:03,axfer,,,USDC,249965.,,,HAUVUUSRHLATO4EBAJOUMIJW4FBVBUBFIJLMDVBZ7ZDKMTYLCYEA,Receiver,2UEQTE5...
2024-05-31 21:17:2,axfer,,,USDC,2794449.49,,,5H6RDV2AHDUWD5Y4PMWORQY3B5NU3E2DRK7U624IMZ5EQA5UBQRA,Receiver,2UEQTE5...
2024-05-31 21:18:4,axfer,,,USDC,300000.,,,Z6U3WKELDYOEGWDX52QQLZMXU4JJMBIW3WSXLPYUJXDYIVAS6GTA,Receiver,2UEQTE5...
2024-05-31 21:19:06,axfer,USDC,9987000.,,,ALGO,0.001,A2NP5FT2E5MZOLHHWIN7BFP5OF4TOP2YRGFPQ7WVUOZPZSFLMQNA,Sender,I4PAB4T...
