time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2024-06-03 18:37:12,,,,,,,,3RCB65H47S5EQJCZXEMEZS4BUME3W2H56TC2I2IQ7K3DU7MIFYAQ,
2024-06-03 18:37:4,,,,,,,,BQ25TCZWSU7WKTN3KJAFNFA4FCKOGE6BHELICUE2DERQR6FRFDZQ,
2024-06-03 18:38:08,,,,,,,,WYYI3OWMMY2DFW4KXJ5H553MYFW3UDBU6F6MTMUPNO3P5RREOGTQ,
2024-06-03 18:38:37,,,,,,,,7MVO5YHEDQ36AOZIUPZJY5ZVAYMO7LLKQ4FOAMC36P5ETEC6QYWQ,
2024-06-03 18:38:51,,,,,,,,BQ65CXOFQJCOM7BONJRSKBXZ2RPQWDCA7MVRGVDQO2Y7HC4NXSEA,
2024-06-03 18:39:08,,,,,,,,R24YGTPMDCLLNGIQDWADOIAK3655WL4SJVMTP3QKDPOCOSRS22IQ,
2024-06-03 18:39:33,,,,,,,,AUUTUP3D3WEL54HDBSHS3BGFHETD4XR2RSIE5SXCTSLLBUR5VGYQ,
2024-06-03 18:39:47,,,,,,,,AE5XH3KVEEFGUXGJUNE55QNSZ7D34FWYJYWTTN67OZRZMLWSWKKQ,
2024-06-03 18:39:47,,,,,,,,4OYLJ7I4IPIZV33JYLPPVIX42P5CRMF3UZKUKTFYNAQ6GSGQFUTA,
2024-06-03 18:40:16,,,,,,,,EQGMF5ZB6TIXK2BEDUSDJTLZPDLVPVSYYDQGXLNVRBU72CBZ3WLA,
2024-06-03 18:40:3,,,,,,,,CIZVUDBYYMF44ITHOE4GHPA2DH2NFQB3IGM4XVPAMSA2RJMPUSXQ,
2024-06-03 18:40:36,,,,,,,,2HDVAI6KSMCSXQREORMQA26E5YQTK6I5LL274URIXTONJZO65TCA,
2024-06-03 18:40:44,,,,,,,,S7N5WXWIPXBG533Z2TPN5EQWUAO25KBOVJQO5FRENZYKTVEOU73Q,
2024-06-03 18:40:59,,,,,,,,EYUCMRSVXTU4VJA5IHBOZLMCKC3CWIJLRZKK5MARPLTTSGOXTFRA,
2024-06-03 18:41:13,,ALGO,0.02,,,ALGO,0.001,G-DwkiA - W4662F34J7BONDMAHFDOOV2GUFQZS7GTXPVZHVMQNGYL3GAUPMZA,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-06-03 18:41:13,,,,,,ALGO,0.003,G-DwkiA - AFIHN5T7ZWHL7VYXOYY5M6KGHFCSMBHNBBP6OKAM7MVD5J3IE6DA,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-06-03 18:41:13,,,,TMPOOL2,0.000447,,,in1 InnerTxn - AFIHN,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
