time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2024-04-21 10:04:39,,,,ALGO,10.,,,A5PD3M6LRQXOEQS3WELDA5USPP3ULEU5L23BFIDDVIDKYG7UWSGQ,Receiver
2024-04-21 10:08:44,,,,ALGO,1.108,,,G-Sz16S - KKYYLVIYQ623KXH3T425YE4XDE2NCCYZKDYFXIFNBCQUEPPSZSQQ,1 txns.  
2024-04-21 10:13:4,,ALGO,1.,,,ALGO,0.001,G-J0ntJ - ZZFZLGL7VYBWRQLPTPVXDATD6BC462TZGFVB4JDEMJFC44EFA65A,3 txns.  
2024-04-21 10:13:4,,,,,,ALGO,0.007,G-J0ntJ - MVTPXGE7JAN3MTIQPRUO2PEUVXHUOSAVRXKV4AXQVP5WC4DASTZQ,3 txns.  
2024-04-21 10:13:4,,,,NFD,1.,,,in1 InnerTxn - MVTPX,3 txns.  
2024-04-21 10:14:09,,ALGO,0.0185,,,ALGO,0.001,G-TR+Xg - AHSXQCVHUOPYKEAQLOV6RNDJX43COZHWFWM2JMXKHO7BF3ABKVPQ,3 txns. NFDomains : appDB match : Registry 
2024-04-21 10:14:09,,,,,,ALGO,0.001,G-TR+Xg - SALR4PRR4T2QSLAXNS6ZIY6E3CKMQIWEZGQDDASSRLA6GXHR2XKA,3 txns. NFDomains : appDB match : Registry 
2024-04-21 10:14:09,,,,,,ALGO,0.003,G-TR+Xg - S7I26RZPEKPPAXTD5UEDPH4R56M4D6C3ST4DHHLYO5BIZEGJFWXQ,3 txns. NFDomains : appDB match : Registry 
2024-04-21 10:15:33,,ALGO,1.,,,ALGO,0.001,G-qcLeR - KHF5J524LDGT4RCGZ57KMQK3PU6YXLLOG6O22VGYFQPMGD5QLNIQ,3 txns.  
2024-04-21 10:15:33,,,,,,ALGO,0.007,G-qcLeR - QTFTQ5PVZJEQSHHT56UYOZJRMYV3CMDHLG2GCX3IHD5K76UXJKYQ,3 txns.  
2024-04-21 10:15:33,,,,NFD,1.,,,in1 InnerTxn - QTFTQ,3 txns.  
2024-04-21 10:16:1,,ALGO,1.,,,ALGO,0.001,G-/+6jp - MKMXSKLGEUXHSM5NRUHGUGEY5GGV6NIH2KFJLEUPIJDME6BURYFQ,3 txns.  
2024-04-21 10:16:1,,,,,,ALGO,0.007,G-/+6jp - LJXNSEOKSUXRODFWG4ZRYDVUJHAEDTS64VOACDH2U5OS3ZOQXSHA,3 txns.  
2024-04-21 10:16:1,,,,NFD,1.,,,in1 InnerTxn - LJXNS,3 txns.  
2024-04-21 10:16:33,,ALGO,0.0032,,,ALGO,0.001,G-pRZEx - 5L62TS6WKJAQUKDP5ES2RQWZTDS3GAB27XUMT5ZUTSAL27IT6F2Q,3 txns. NFDomains : appDB match : Registry 
2024-04-21 10:16:33,,,,,,ALGO,0.001,G-pRZEx - LFKOTKJNIHCTSTTKV56L2KDORMHLHWTVE6MBYMHYTPWVHMPQEZ4Q,3 txns. NFDomains : appDB match : Registry 
2024-04-21 10:16:33,,,,,,ALGO,0.003,G-pRZEx - F2BM2OWDZB6RFSTZZGZBFL3EDUFBZQYR3DYRTSZZRPJ56Q6ESC6A,3 txns. NFDomains : appDB match : Registry 
2024-04-21 10:17:51,,ALGO,0.0032,,,ALGO,0.001,G-4pSuW - HJJVVADUHBNBAWNKJMTMQ3A4GQZ44KVDPXT2SXY3ZVLZC4466LLA,3 txns. NFDomains : appDB match : Registry 
2024-04-21 10:17:51,,,,,,ALGO,0.001,G-4pSuW - FMUHCDDKRF7QKFYVMTK66JRLJUQM55MI7KBZDQSZPC57LNDIB72Q,3 txns. NFDomains : appDB match : Registry 
2024-04-21 10:17:51,,,,,,ALGO,0.003,G-4pSuW - VSGGYBL2DQPM3OZ2FQZAL3WJ63F5KCNRC7I5VNZ2TQIQQFPEVXQA,3 txns. NFDomains : appDB match : Registry 
2024-04-21 10:22:07,,3DTREE01,0.,,,,,FKZLZ4G7C7GD6JYEBMEWPMECKOCF4B6SJPVQJTXCWSBABTOOX7CQ,Asset Opt in/out
2024-04-21 10:22:15,,,,3DTREE01,1.,,,RDIDUWE23GHICDUWMFYHVMAVKSW7G4SQFZUSNTAUHBMLJND4VICA,Receiver
2024-04-21 10:32:12,,,,,,ALGO,0.002,G-kJyP/ - 6S4XL2GLOFK24FB43NAJQ5PDNOD6EHO6ALVRSKF4F3CPP4ECP65Q,2 txns.  
2024-04-21 10:32:12,,,,JUICER,1.,,,in1 InnerTxn - 6S4XL,2 txns.  
2024-04-21 10:32:29,,,,,,ALGO,0.002,G-TsA7t - OIEBPDHISY6F6DFHMRXAUIXW7ESKEFIGHM7KMI5RRW2WRZ2B22KA,2 txns.  
2024-04-21 10:32:29,,,,NIKO,9.999848,,,in1 InnerTxn - OIEBP,2 txns.  
2024-04-21 10:32:46,,,,,,ALGO,0.002,G-cav2k - ZPYMVYDDQ6GRLR4LBIXVT7JXHT5YUCJAGD2IITNZZJSTCEFJBUFQ,2 txns.  
2024-04-21 10:32:46,,,,WW-Q1-23,1.,,,in1 InnerTxn - ZPYMV,2 txns.  
2024-04-21 10:32:58,,,,,,ALGO,0.002,G-S5LRl - PIM3Q2JV2EXT4REYG6GUN77ROVCYGTW2XD6U4YVH7XLDAEIZYJRQ,2 txns.  
2024-04-21 10:32:58,,,,NK 0405,1.,,,in1 InnerTxn - PIM3Q,2 txns.  
2024-04-21 10:33:18,,,,,,ALGO,0.002,G-skFik - SXVG446VCSELPHZI3C6MGDLRNYJHBCMQZL4T6T75NN4XC5XYYSQA,2 txns.  
2024-04-21 10:33:18,,,,HASH,23.,,,in1 InnerTxn - SXVG4,2 txns.  
2024-04-21 10:33:33,,,,,,ALGO,0.002,G-3kXyJ - 6UDVMJU7IMF42P7BP2H7WWYKHBWAJHCUXNKUWMZK5PWMMSYKN3MA,2 txns.  
