time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2023-11-13 16:00:51,,USDC,1.011096,ALGO,7.116155,ALGO,0.001,aYQVQYPegd1f8wFb/13TqvjtV+pslk619i6GIrQ4FNo=,1 txns. Tinyman :  : 
2023-11-13 16:00:51,,ALGO,7.091741,SILVER$,1.385245,,,Combo 2 aYQVQYPegd1f8wFb/13TqvjtV+pslk619i6GIrQ4FNo=,1 txns. Tinyman :  : 
2023-11-13 16:00:51,,SILVER$,1.385245,goUSD,1.004417,,,Combo 3 aYQVQYPegd1f8wFb/13TqvjtV+pslk619i6GIrQ4FNo=,1 txns. Tinyman :  : 
2023-11-13 16:00:51,,goUSD,1.004417,USDC,1.011096,,,Combo 4 aYQVQYPegd1f8wFb/13TqvjtV+pslk619i6GIrQ4FNo=,1 txns. Tinyman :  : 
2023-11-13 16:02:22,,RIO,0.466851,ALGO,1.347871,ALGO,0.001,xAaNQo/LE8FY5OHemNT3Dp9EQjGJXBqf1P3Fo50dgF0=,1 txns. Tinyman :  : 
2023-11-13 16:02:22,,ALGO,1.336663,RAWR,489.298531,,,Combo 2 xAaNQo/LE8FY5OHemNT3Dp9EQjGJXBqf1P3Fo50dgF0=,1 txns. Tinyman :  : 
2023-11-13 16:02:22,,RAWR,489.298531,RIO,0.466851,,,Combo 3 xAaNQo/LE8FY5OHemNT3Dp9EQjGJXBqf1P3Fo50dgF0=,1 txns. Tinyman :  : 
2023-11-13 16:02:56,,ALGO,9.71146,rUSD,0.8332186,ALGO,0.002,RTdYuTqei878VISDtgt9YZDoARb14bH1dwThrCayRtw=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:02:56,,ALGO,0.002,,,,,Combo 2 RTdYuTqei878VISDtgt9YZDoARb14bH1dwThrCayRtw=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:02:56,,rUSD,0.8332186,RIO,3.3684402,ALGO,0.003,hkBlcHr4BH1nDia6m/FUfjG6J9LzriPVdfFevSy1h8Q=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Sell)
2023-11-13 16:02:56,,RIO,3.3684402,ALGO,9.72246,ALGO,0.002,4Le5zC7Pi1Bztu2fdAfRDSTPcq+0CxYV8aekDQ36hsE=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:02:56,,ALGO,0.002,,,,,Combo 2 4Le5zC7Pi1Bztu2fdAfRDSTPcq+0CxYV8aekDQ36hsE=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:03:03,,ALGO,0.002,ALGO,0.009194,ALGO,0.001,v6nY6iXiZDuaFwrzd1Kd12tmHRBWfhqszFuPHUnXTIs=,3 txns. Tinyman : Tinyman AMM v1/1.1 : Redeem Slippage
2023-11-13 16:04:5,,ALGO,14.070368,rUSD,1.2059659,ALGO,0.002,+Q83FJg17Yr72WEd6mUKRUKgtelZFhV5FRDucEd2sio=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:04:5,,ALGO,0.002,,,,,Combo 2 +Q83FJg17Yr72WEd6mUKRUKgtelZFhV5FRDucEd2sio=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:04:5,,ALGO,2.927297,YLDY,7717.076463,ALGO,0.003,hoHUjwbSRTACx2eAq/r+wToSFkxCOKXNbOW5CYe8N1Y=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Sell)
2023-11-13 16:04:5,,rUSD,1.2059659,RIO,4.8609463,ALGO,0.003,NhwByRuKhs5qWeH+nMqWfkr5r236JJSwcI//Ii3hVdE=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Sell)
2023-11-13 16:04:5,,YLDY,7717.076463,RIO,1.0148525,ALGO,0.002,LD+dL5Ol7urGXGBjEBBw6CsqAJSseGGeP+smtVgzZDI=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:04:5,,ALGO,0.002,,,,,Combo 2 LD+dL5Ol7urGXGBjEBBw6CsqAJSseGGeP+smtVgzZDI=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:04:5,,RIO,4.8609463,ALGO,14.081368,ALGO,0.002,/i/2/hC/Npt650C6S7IW55D6aHxY5YzGRQy19AVL34o=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:04:5,,ALGO,0.002,,,,,Combo 2 /i/2/hC/Npt650C6S7IW55D6aHxY5YzGRQy19AVL34o=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:04:5,,RIO,1.0148525,ALGO,2.938297,ALGO,0.002,twxawZn2U+VrPf+gt6AnBOYBl/AD4UWckXqvYN24y14=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:04:5,,ALGO,0.002,,,,,Combo 2 twxawZn2U+VrPf+gt6AnBOYBl/AD4UWckXqvYN24y14=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:04:5,,ALGO,1.327976,rUSD,0.1139364,ALGO,0.003,yx60Ly0aEg2Nid6wbiYLcw+qP09ou1Hh20OfYfLmFn4=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Sell)
2023-11-13 16:04:5,,rUSD,0.1139364,RIO,0.4628923,ALGO,0.002,ivwvmDzWN2AohH5IDf4xKOMq/dLbrpvriheYBHQLS90=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:04:5,,ALGO,0.002,,,,,Combo 2 ivwvmDzWN2AohH5IDf4xKOMq/dLbrpvriheYBHQLS90=,4 txns. Tinyman : Tinyman AMM v1/1.1 : Swap (Sell)
2023-11-13 16:04:5,,RIO,0.4628923,ALGO,1.344999,ALGO,0.003,kv8iZgZdsCabWXT5eTmzJNo6M3Et1oNboRu40rnD1aA=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Sell)
2023-11-13 16:04:57,,ALGO,0.002,ALGO,0.037104,ALGO,0.001,ajz0n8zS8udk5VBY8m4+bSslX+U0zZu8eGDtKKNrsLY=,3 txns. Tinyman : Tinyman AMM v1/1.1 : Redeem Slippage
2023-11-13 16:04:57,,USDC,3.810645,ALGO,26.866295,ALGO,0.001,FYqqdttpDN0g4TVparFx/4ZwduILMbuW+ro3Lc1fSzQ=,1 txns. Pact :  : 
2023-11-13 16:04:57,,ALGO,26.854964,Vote,161.336792,,,Combo 2 FYqqdttpDN0g4TVparFx/4ZwduILMbuW+ro3Lc1fSzQ=,1 txns. Pact :  : 
2023-11-13 16:04:57,,Vote,161.336792,USDC,3.810645,,,Combo 3 FYqqdttpDN0g4TVparFx/4ZwduILMbuW+ro3Lc1fSzQ=,1 txns. Pact :  : 
