time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2023-04-18 16:10:06,,,,ALGO,25.,,,OMBBPHQGVZ7NPDR37YONFD2BBRE7LFKURZR3NONYMMUXDCBXE6BA,Receiver
2023-04-21 17:49:42,,,,ALGO,147.,,,CICN3XBQZSSVO47PQ5XTZSWGV5QZFSW6RBMPHQUL2VBBY2CAIYBA,Receiver
2023-04-21 17:51:25,,ALGO,0.715,,,ALGO,0.002,uU/UueUxqJ5XfTDuONBhm7SSy+H9f8/M9QafI4Fey90=,2 txns. Algofi : Lending Market v2 : Initialize Account
2023-04-21 17:52:06,,ALGO,0.471,,,ALGO,0.004,2ZbXR6RpNJWuQbQPp/6kxFVIeK4eKhC5xb1UeJ/lKkg=,3 txns. Algofi : Lending Market v2 : Initialize Account
2023-04-21 17:52:28,,ALGO,80.,,,ALGO,0.004,HMqbcmXUww/UYSoer+x8zgjCtHL2+WeZeSbPQ5kSku4=,3 txns. Algofi : Lending Market v2 : Add to Collateral
2023-04-21 17:53:13,,ALGO,80.,,,ALGO,0.009,1CCxQDJjnVqT2MOUpYpe+fmybqGFgIfQmjjlzOos7fo=,5 txns. Folks Finance : Folks Finance v2 : Deposit
2023-04-21 17:53:13,,ALGO,0.35,,,,,Combo 2 1CCxQDJjnVqT2MOUpYpe+fmybqGFgIfQmjjlzOos7fo=,5 txns. Folks Finance : Folks Finance v2 : Deposit
2023-04-22 09:51:38,,,,ALGO,175.,,,KLN2B7W66HTE2MRNSMDFM7GUPPXMNEHGSV6E2MMTLECYPDBBKVIA,Receiver
2023-04-22 10:27:26,,ALGO,90.,,,ALGO,0.005,EEI24TaGCpVv6gmicwhdBusVnDi4AOiNRLcSKx0+ksg=,3 txns. Folks Finance : Folks Finance v2 : Deposit
2023-04-22 10:28:14,,ALGO,90.,,,ALGO,0.003,H71DSsoWeIm27ttV8dVpV6IQrQaHfeUZuH+nh01F3YA=,2 txns. Algofi : Lending Market v2 : Add to Collateral
2023-04-23 15:08:28,,ALGO,1.001,,,ALGO,0.001,2QYDLKRFGBG4ITDH7FGT7Q7DE2JG6LPWIPPQTFXOLXFCKT3VO65A,Sender
2023-04-25 11:11:52,,,,ALGO,10.000002,ALGO,0.004,l4ayaAnr0Pu0bIip9I9d6t2zylmCcOwexjeGauKlQng=,1 txns. Algofi : Lending Market v2 : Remove Collateral
2023-04-25 11:12:25,,ALGO,10.,,,ALGO,0.001,L4SOXI7TDHIXSUEAFWPFWETDYANOBF4AONZ4PNMLYGAQM2PRDJ2Q,Sender
2023-04-27 18:29:5,,,,ALGO,6.173,,,FM3DPD32LJEWBGTUHXW7ZJUV43ISJKIC7M6NPTFN3QD4WQI5YKXA,Receiver
2023-04-28 06:25:23,,ALGO,5.,,,ALGO,0.001,F22I3MYEC2ISNM5RSMWR2LPSYINP4CAP4YDSMHXO5FVACXHNKGOQ,Sender
2023-04-28 06:50:33,,,,ALGO,1.108,,,HXPXEjTajVDhPpIiRE8b9zSFHoVjyx9GInx4fPV3OfA=,1 txns. 
2023-04-28 06:51:07,,ALGO,1.,NFD,1.,ALGO,0.009,nJpIRDDUDY7YkkNvoTJqz1LCDkozEMgsx0tQHtkCE2E=,3 txns. 
2023-04-28 07:02:45,,,,ALGO,150.00003,ALGO,0.004,yAumQAv7UguHCgPtWTeTzHU8hheXTYgNTxKC8BJ7ksY=,1 txns. Algofi : Lending Market v2 : Remove Collateral
2023-04-28 07:10:15,,ALGO,135.,,,ALGO,0.003,0Ev+RMrdsU8CKCnh26ESPLXBsa/boTp9Jon3beWH5zQ=,3 txns. 
2023-04-28 07:14:07,,ALGO,0.001,,,ALGO,0.002,3WNopsBF8B2YyY2eGBSS49o5AKuIm54iuArg3lOFNtQ=,2 txns. 
2023-04-28 07:14:07,,ALGO,1.002,,,,,Combo 2 3WNopsBF8B2YyY2eGBSS49o5AKuIm54iuArg3lOFNtQ=,2 txns. 
2023-04-28 07:16:38,,ALGO,0.001,,,ALGO,0.001,OrkygGC47nU9BRX12yS2utcYh+Ojoijz6I0BA252umA=,1 txns. 
2023-04-28 07:52:09,,ALGO,0.001,c-block,1.,ALGO,0.004,gGXUgDTQtQH6hlj9vFpmgxhebikQvMBmMO+GfWKIbVg=,5 txns. 
2023-04-28 07:52:09,,ALGO,4.95,,,,,Combo 2 gGXUgDTQtQH6hlj9vFpmgxhebikQvMBmMO+GfWKIbVg=,5 txns. 
2023-04-28 07:52:09,,ALGO,0.05,,,,,Combo 3 gGXUgDTQtQH6hlj9vFpmgxhebikQvMBmMO+GfWKIbVg=,5 txns. 
2023-04-28 20:55:53,,,,ALGO,135.,,,AZ8QU9Hw9UR+QRa8JWY1TSmj96Cy2F0gCpoZVeUHuoY=,1 txns. 
2023-04-28 22:09:5,,,,ALGO,50.,ALGO,0.006,A/hO61wWnvgwX+PeEWRuT0wiDFq/n6ElkNbp/3S0bqA=,1 txns. Folks Finance :  : 
2023-04-28 22:10:43,,ALGO,175.,,,ALGO,0.004,hGCrqU0J3YJsSJuFF8QP3AuwF39dzqH3wNytADybr1E=,4 txns. 
2023-04-28 22:10:43,,ALGO,0.001,,,,,Combo 2 hGCrqU0J3YJsSJuFF8QP3AuwF39dzqH3wNytADybr1E=,4 txns. 
2023-04-29 03:29:47,,,,ALGO,175.,,,YAwKzocuPbJPWwnFa09XR+IYU4grsQVPSVrMcJ54uXU=,1 txns. 
2023-04-29 08:00:47,,ALGO,30.,,,ALGO,0.005,gGSIumT43eFA0sQcsljidJYGzDQuJ4DmVsEqG2JPBgQ=,3 txns. Folks Finance : Folks Finance v2 : Deposit
2023-04-29 08:01:35,,ALGO,160.,,,ALGO,0.003,MsRJOO+cQibNnjEe2eE4hv+nb2ZFlDlsSS4yus9Q87Q=,2 txns. Algofi : Lending Market v2 : Add to Collateral
2023-04-29 14:20:21,,ALGO,0.002,,,ALGO,0.001,mcJkrH1YidBS45Dlifj1qYrgIkILOdX8yhCgjSekEmk=,1 txns. 
2023-05-03 10:35:58,,,,ALGO,100.000021,ALGO,0.004,zyDJ2flqICzCvhvwf0rec5tpm7saboZqdrNe/s06l7M=,1 txns. Algofi : Lending Market v2 : Remove Collateral
2023-05-03 10:49:56,,,,ALGO,100.,ALGO,0.006,h3ZwdF5ii6vlYx4aRHrGdv2eWggZ1niy4poE8+GHaKc=,1 txns. Folks Finance :  : 
2023-05-03 10:50:34,,ALGO,200.,,,ALGO,0.001,7VOOOLWRRW25TXFNOISOCZPT7KJUKA3665WYEVJPX7JEEB34FY5Q,Sender
2023-05-05 19:56:2,,,,ALGO,20.,,,Y5KSZ4P3QVTRHUASX4U4ARNHKN6MLSPW2XGJIJGZBOTCOASMCNTQ,Receiver
2023-05-05 19:57:04,,ALGO,25.,,,ALGO,0.003,AJ3jz9+SErIO2Ww8tzchmi45+VVA8ixEnQPqekmD4Ec=,2 txns. Algofi : Lending Market v2 : Add to Collateral
2023-05-20 11:13:03,,,,ALGO,10.000024,ALGO,0.004,b93eFMysKwqpDRVLLvjI8SyHD/cp7GQ2QkW55C7JUE4=,1 txns. Algofi : Lending Market v2 : Remove Collateral
2023-05-20 11:14:45,,ALGO,10.,TMPOOL2,34.763861,ALGO,0.005,CIS1ArJZSI+T9SspCIzNvYEpYZWH/gZ3EDlrz4HC/1M=,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity
2023-05-21 08:06:51,,dooofy,0.,,,,,4HIYTO36XYTG5YISY7MKJX5F4Q6YXNYZIF4ZFXBDSHVU5NIBRB6Q,Asset Opt in/out
2023-05-21 08:07:06,,COOP,0.,,,,,XYRVWGTEHLI63BI7XZCMS4I35K5EQF2ENK6TI3EGV4J44VFBX72A,Asset Opt in/out
2023-05-21 09:54:58,,,,ALGO,10.000001,ALGO,0.004,7gQcHWtIQH5eCqUcCGYrxHroy0bf4yfVsfIooBTwMAs=,1 txns. Algofi : Lending Market v2 : Remove Collateral
2023-05-21 09:56:45,,,,COOP,69.,ALGO,0.01,lhOxUix4H0XQZAtgqfTfszxHyW/xAJInrm44W5NmKdk=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Buy)
2023-05-21 09:56:45,,ALGO,2.038963,ALGO,0.010144,,,Combo 2 lhOxUix4H0XQZAtgqfTfszxHyW/xAJInrm44W5NmKdk=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Buy)
2023-05-21 09:57:45,,PEPE,0.,,,,,RS6JHGDYDW5CQWPISHBWGS7DDERSXO4CXJHMZTLGXMVJP5O5OCZQ,Asset Opt in/out
2023-05-21 10:00:09,,,,PEPE,42069.,ALGO,0.004,9Uokg7iyuIs9u1nuIvm5ox0XwfWw7akbhyNiehV3hYE=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Buy)
2023-05-21 10:00:09,,ALGO,0.447034,ALGO,0.002224,,,Combo 2 9Uokg7iyuIs9u1nuIvm5ox0XwfWw7akbhyNiehV3hYE=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Buy)
2023-05-21 10:12:43,,,,ALGO,75.674205,ALGO,0.004,fr/5v67HDWK6V9w6RzGJznuMSok8FAsG3vFgngvdMgM=,1 txns. Algofi : Lending Market v2 : Remove Collateral
2023-05-21 10:14:2,,,,ALGO,50.58284,ALGO,0.006,dk1GnvKO6iN9Y1oPoGV3OKuVHY8Sbwt+lQE41bA5sJo=,1 txns. Folks Finance :  : 
2023-05-21 10:16:58,,ALGO,114.2,,,ALGO,0.004,i66dXQrSsM1OnFbK9HGW+teoVfXfIgwixCdVCmr6j5g=,4 txns. 
2023-05-21 10:16:58,,ALGO,0.001,,,,,Combo 2 i66dXQrSsM1OnFbK9HGW+teoVfXfIgwixCdVCmr6j5g=,4 txns. 
2023-05-21 10:19:33,,,,ALGO,114.2,,,UFkVM22dNAbfDHh5PebU9kgEFaWtAH0iLXYzvczH6rs=,1 txns. 
2023-05-21 10:34:48,,,,COOP,169.,,,T4VOFWHYX42UQKPRAYUNQ5WPKXVGNAWNIO3MZSUTZZ5IEJ2PRJPQ,Receiver
2023-05-21 10:46:15,,,,COOP,0.174911,ALGO,0.006,HdVEXHmFaX5l6ih4rlY3ZFW0k+Su5TFdjR7Ecb1+Eu8=,4 txns. Pact : Pact Swap : Add Liquidity
2023-05-21 10:46:15,,ALGO,5.328401,,,,,Combo 2 HdVEXHmFaX5l6ih4rlY3ZFW0k+Su5TFdjR7Ecb1+Eu8=,4 txns. Pact : Pact Swap : Add Liquidity
2023-05-21 10:46:15,,COOP,169.,PLP,2.081083,,,Combo 3 HdVEXHmFaX5l6ih4rlY3ZFW0k+Su5TFdjR7Ecb1+Eu8=,4 txns. Pact : Pact Swap : Add Liquidity
2023-05-21 10:47:19,,COOP,0.174911,,,ALGO,0.001,D5I2UH4VYRM6MIKUB335SBUW4MZCDV2P2WTMLSKNCIJZ6BB7KC3Q,Sender
