time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2021-10-03 04:44:46,,,,ALGO,2.07,,,K5T5BQYXFX4M5JRPK4PVUO26WRC4O7H3XQKCFJPFFXMVE6IYRWZQ,Receiver
2021-10-03 04:45:21,,ASAUR25,0.,,,,,6KGL7BG6CZEYGYXQ7TP2HF77MLYGPZZKSVPW7NENQHNN2OBQGVPQ,Asset Opt in/out
2021-10-03 04:53:23,,,,ASAUR25,1.,,,RNSNGLGMMAOIVJV7EV4AGK5XYPUEDCONDQFXFRG4XP7BHB4JNQWQ,Receiver
2021-10-03 08:19:43,,,,ALGO,7.,,,IX2S6QBLFFVEQNEUA3PV3HJKYMDC4EWHUE4XW5YY2ZD2ZBHXVGVA,Receiver
2021-10-03 12:22:15,,BABE39,0.,,,,,5XNYJ4KD6RNQWLHPTACN2HFOEAUBS3527AGH6FMWUYW35TQMZ32A,Asset Opt in/out
2021-10-03 12:51:53,,,,BABE39,1.,,,7NWVRAGLBU4MT7EDHIW6TI43YPNG2W7M5S4MXA37XTMOGBD2WFVA,Receiver
2021-10-04 03:16:02,,,,ALGO,8.25,,,ITEGJHVHZFISGL4FIIR2XTRR22QECUMLFTCR4CB7FAD5IJE6QIYQ,Receiver
2021-10-04 03:18:53,,ALGO,7.,,,ALGO,0.001,BRULYSLW25YLKSNLXN47EQ3P5HNIJS56JSVLGRDJE46Q7XPO2SSA,Sender
2021-10-04 03:44:52,,,,ALGO,6.8,,,JRGUMFBJNNNCS4DTL6G535WUPEVQDISZIE7LLHUX6NBG4MJWYUBQ,Receiver
2021-10-04 03:45:53,,ALGO,12.,,,ALGO,0.001,T3N2QBSYK2OSOJAO4NLZVJGQLFAJSBXI2B5TG77AV6SXYZIYVKAQ,Sender
2021-10-04 05:48:48,,ALGO,4.8,,,ALGO,0.001,QKEH3C5EYYMN6F4VGZ3MGJUSOZPJGTMBRHV4D3MMUGLHDU7WX4OA,Sender
2021-10-04 06:13:56,,,,ALGO,7.6,,,B73KVY6WASGCL2DXTZGBYNZ3SVKYO44PLDEABRRPQVWSAAMRAKOQ,Receiver
2021-10-04 06:14:49,,ALGO,7.,,,ALGO,0.001,FW3RCMPQVIFFD6CDSRDVU52PYKUVTMWI3KDZVFJVJU35YC2V6KXA,Sender
2021-10-04 07:00:39,,,,ALGO,24.5,,,KIQXEL7UYBIWWHB3YZFZLBZXMRCQ2CQNTHC44YP6MQHA33P4PXYQ,Receiver
2021-10-04 07:01:18,,ALGO,25.,,,ALGO,0.001,EREDX75G5YI3IVEUKZKQAN6TLBZBQOEFJBII63ADV3H7LXE3EYWQ,Sender
2021-10-04 08:31:01,,,,ALGO,3.,,,D2KYHIQYYKZ7UG4K3SHQW5N7FJWLCZN56FEHWGDLXD6AP4U6GGJQ,Receiver
2021-10-04 08:32:03,,ALGO,3.,,,ALGO,0.001,QU7UZQ2LMGXGANA5I3KISRY2KKEN7PBDGJEKRWGUQ3OHMUZ44E4Q,Sender
2021-10-04 10:06:13,,,,ALGO,15.3,,,YYZUJHI7S3XTUR6C4DZHJJ42TBSWFERIXMMBBQJVDDMU6WB65HRA,Receiver
2021-10-04 10:10:,,ALGO,15.,,,ALGO,0.001,ZQIVCOSJBI5GICAUJAWRAZCR4AR3NGSQHLWP4NIKLGEGA2MA3WUA,Sender
2021-10-04 11:55:53,,,,ALGO,9.,,,7TD7IF6JNST3OTMMT3GPQP7IWPH27VJU6WDH46HIFJ5CFU5BKWRQ,Receiver
2021-10-04 12:10:59,,ALGO,9.,,,ALGO,0.001,KB2KT7PFE6NY33ADRBW5YDBKJ3TJC4EINBNQFJT3B4RFFA5ZQK4Q,Sender
2021-10-04 12:25:01,,,,ALGO,13.5,,,7SQBMJKWWSNBF5BYU5NONLWLQNN54Y5SAG32ZQYRVVVFVWHNSXLQ,Receiver
2021-10-04 12:27:43,,ALGO,9.,,,ALGO,0.001,4HVO6KS37INHF5TDT7YQGRYXMAI2M5SM23OFSG35KKFEQPUS2U2Q,Sender
2021-10-04 12:51:48,,ALGO,4.,,,ALGO,0.001,QG3KSS7BRX52LOCDNET42HHKTGNQOHZHTATWRX3THUJ6RUJEHA2A,Sender
2021-10-04 14:26:19,,ALGO,0.9,,,ALGO,0.001,HUE32S4443RXLL2ID4UHJ5I622WS5VCBDNKUNWCOKXFGS3AKBTWQ,Sender
2021-10-05 04:03:28,,,,ALGO,11.5,,,NLOTUIKUGYD5HSW5HWVBVVUC4XHLF65YLWXTLSZZP5FPNNM4OADQ,Receiver
2021-10-05 04:04:39,,ALGO,11.5,,,ALGO,0.001,PN4XNQUNJSY7WNZDW4LJ4C7NIKE6R3ZHGOX35MOLPWM3XA3KQDPQ,Sender
2021-10-06 12:25:11,,,,ALGO,10.,,,AIGWVA5WHLV4LNYBFX6R63MAIYMA7JNK2PKKPGJOW44PWTP65PSQ,Receiver
2021-10-06 12:26:29,,ALGO,10.,,,ALGO,0.001,DSHP56GWGQRW4M2ITIWXP7YCW2F6U4F5BKMBB7YLFJXGI4LJU3ZQ,Sender
2021-10-11 03:40:12,,,,ALGO,30.28,,,QN53P37ZWJWTYBWTDIQ324TRONZ5QAXOGWS746ZNYAAQ4S5S2BWA,Receiver
2021-10-11 03:41:09,,ALGO,30.,,,ALGO,0.001,QYBPTKRQSR7LKERWUAWFELKY6P2WNL7PWOFVVPQEO4WQ63PTHVEA,Sender
2021-10-13 14:38:47,,,,ALGO,3.42,,,EMRHKJZSWOCICNWB6DEO5Q6CMKRDBTULYXDW73TUGMLWHL724ZEA,Receiver
2021-10-13 19:47:19,,ALGO,3.7,,,ALGO,0.001,VHIRPAP7S4PNDZCT34P7BQPDPZPUPWCD74XLMU6SC77YWP766VOQ,Sender
2021-10-13 21:47:46,,,,ALGO,7.42,,,LLEDLSYAOQL2267AN5MTRMILHH7MIONZA5JVZTC6YRJTZZNMJV6A,Receiver
2021-10-13 21:49:35,,ALGO,7.324195,,,ALGO,0.001,FRIEPMWVM4P5UBZE7MYBC46WWNNUUQDLLVYLVWHP44HXUWIQ2O2A,Sender
2021-10-16 11:37:29,,,,ALGO,21.89,,,OLIJ5DZJUJQFB4R5TPZKEONYWS6DKCGT6MUHKR4K3EDQEHAVC4EQ,Receiver
2021-10-16 12:00:59,,ALGO,21.5,,,ALGO,0.001,B3DMZ5CAMIJICUX327HBCUBDFK7F6RIFJYK3YPMJRSLKBGQWHJXQ,Sender
2021-10-17 02:06:33,,,,ALGO,5.,,,IELSZKYSW2SFNEMIFD7ELQDP7EPYRPRF5AAJMB4FITFY2F34SGZQ,Receiver
2021-10-17 02:08:15,,ALGO,5.3,,,ALGO,0.001,NV5PN2AL44LNAZ42COUIUATIOH4WHQ6M7RB5BT5XIDGZIBTZPU6A,Sender
2021-10-17 02:47:56,,,,ALGO,10.55,,,3IGP6QWMNWYT2ZAXMQA2UPBQSKQCJUADOJ5Y2LFSSV3D6OS53OUA,Receiver
2021-10-17 02:49:2,,ALGO,10.5,,,ALGO,0.001,QYSMMIJOJAR4L46VEHF5TDIIJLF5SUX2GTYHDLHXNX7T2L65IVIQ,Sender
2021-10-17 09:33:13,,,,ALGO,12.78,,,ZWY6AQPB5HBRYAS6FFPLKXJPXIYF2TYQD4T36DBZC34B42LFWXZA,Receiver
2021-10-17 09:34:41,,ALGO,13.,,,ALGO,0.001,74X3XIMRPYDTTMKYGRYRF5UCVI57YMJEM2XQELFX36DZUDOCUDNQ,Sender
2021-10-17 12:03:32,,,,ALGO,19.62,,,354B6TE2XTIA6TD3VK5JR7NB7J4EEXGV6VA35P4PM4O3EXYGJYKQ,Receiver
2021-10-17 12:04:34,,ALGO,19.6,,,ALGO,0.001,E4M7PRVATCIAM7JLUH6X5PQUWVGKELLYE5MNJ7ISOKMA36C6L4FA,Sender
2021-10-18 05:38:52,,,,ALGO,15.,,,QNPIGLTCAUZJNERNSQB7GAVS36VSPZXBSVQ2GDPX5GYPSGFVGNOA,Receiver
2021-10-18 05:40:55,,ALGO,15.,,,ALGO,0.001,B6F2AHIB6R3OBEBP73DQOWUQDBQYLN6EQ4UF5WFNLACTURM4E36Q,Sender
2021-10-18 07:28:49,,,,ALGO,15.1,,,FFW2O3AFIVMUJ3XH7DXBRIBZG6UF7CIIFXOHYGK65G4V6NTP4OZQ,Receiver
2021-10-18 07:30:25,,ALGO,15.1,,,ALGO,0.001,V3S4KCKTOV2RXGBFEFPTRPOXWC6XF2OIXB2UWYHEHQNJQIMEPVUA,Sender
2021-10-18 12:32:11,,,,ALGO,11.87,,,ZLXS2WULLKKQNYTA5CHVR2THGRP6STW6N2LZ6STC53OX2NRLXNKQ,Receiver
2021-10-18 12:34:25,,ALGO,11.8,,,ALGO,0.001,F7ZVONGDXQPAUKQWHPFVACHB5ERXY7Y7HDW6TGNY5KVZALCBM2HA,Sender
2021-10-18 12:55:21,,,,ALGO,15.95,,,QS3O7DANYVLK72KH7FCAQTNJXN5OHZHJXL4H4IKIDQQBAQENGPEQ,Receiver
