time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner,link
2023-04-18 16:10:06,Receive,,,ALGO,25.,,,OMBBPHQGVZ7NPDR37YONFD2BBRE7LFKURZR3NONYMMUXDCBXE6BA,Receiver,HSY2V6IMWVOTZB6I6X7DULB7VD6N7MU65QQMN4TVOJCJ4K2DD2KN2J6ZIU,https://lora.algokit.io/mainnet/transaction/OMBBPHQGVZ7NPDR37YONFD2BBRE7LFKURZR3NONYMMUXDCBXE6BA
2023-04-21 17:49:42,Receive,,,ALGO,147.,,,CICN3XBQZSSVO47PQ5XTZSWGV5QZFSW6RBMPHQUL2VBBY2CAIYBA,Receiver,F4MY7F4A3RNJT3UEX7JU6QKDB5VGYVGGXBLQVMRHJRBLR3YESFEOORNWHA,https://lora.algokit.io/mainnet/transaction/CICN3XBQZSSVO47PQ5XTZSWGV5QZFSW6RBMPHQUL2VBBY2CAIYBA
2023-04-21 17:51:25,Deposit,ALGO,0.715,,,ALGO,0.002,Combined Group - uU/UueUxqJ5XfTDuONBhm7SSy+H9f8/M9QafI4Fey90=,Algofi : Lending Market v2 : Initialize Account,Algofi - Inital Escrow,https://allo.info/tx/group/uU/UueUxqJ5XfTDuONBhm7SSy+H9f8/M9QafI4Fey90=
2023-04-21 17:52:06,Deposit,ALGO,0.471,,,ALGO,0.004,Combined Group - 2ZbXR6RpNJWuQbQPp/6kxFVIeK4eKhC5xb1UeJ/lKkg=,Algofi : Lending Market v2 : Initialize Account,Algofi - Inital Escrow,https://allo.info/tx/group/2ZbXR6RpNJWuQbQPp/6kxFVIeK4eKhC5xb1UeJ/lKkg=
2023-04-21 17:52:28,Collateral Deposit,ALGO,80.,,,ALGO,0.004,Combined Group - HMqbcmXUww/UYSoer+x8zgjCtHL2+WeZeSbPQ5kSku4=,Algofi : Lending Market v2 : Add to Collateral,Algofi,https://allo.info/tx/group/HMqbcmXUww/UYSoer+x8zgjCtHL2+WeZeSbPQ5kSku4=
2023-04-21 17:53:13,Send,ALGO,0.35,,,,,(Group- 1CCxQ...) - KIKLGJLSCFPY66CZ7KQ4BXN7FA2FWRW45AYJF5APR6HCFRDAEFPA,Folks Finance : Folks Finance v2 : Deposit ,MCZWZ7C4FHQWEKNNYDLQP33ZXNLFUQVEZUAJZ7C2HXMFKVEMA43AU4FPMU,https://allo.info/tx/group/1CCxQDJjnVqT2MOUpYpe+fmybqGFgIfQmjjlzOos7fo=
2023-04-21 17:53:13,Send,ALGO,80.,,,,,(Group- 1CCxQ...) - 2OAX2ZNGAZIH7YEEBYR4HSQ34E5UZTYQR5OMNTOWRZ7OVKM6UOAA,Folks Finance : Folks Finance v2 : Deposit ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4,https://lora.algokit.io/mainnet/transaction/2OAX2ZNGAZIH7YEEBYR4HSQ34E5UZTYQR5OMNTOWRZ7OVKM6UOAA
2023-04-21 17:53:13,Fee,,,,,ALGO,0.009,Group Combined Fees - 1CCxQDJjnVqT2MOUpYpe+fmybqGFgIfQmjjlzOos7fo=,Folks Finance : Folks Finance v2 : Deposit,Algorand Network,https://allo.info/tx/group/1CCxQDJjnVqT2MOUpYpe+fmybqGFgIfQmjjlzOos7fo=
2023-04-22 09:51:38,Receive,,,ALGO,175.,,,KLN2B7W66HTE2MRNSMDFM7GUPPXMNEHGSV6E2MMTLECYPDBBKVIA,Receiver,F4MY7F4A3RNJT3UEX7JU6QKDB5VGYVGGXBLQVMRHJRBLR3YESFEOORNWHA,https://lora.algokit.io/mainnet/transaction/KLN2B7W66HTE2MRNSMDFM7GUPPXMNEHGSV6E2MMTLECYPDBBKVIA
2023-04-22 10:27:26,Send,ALGO,90.,,,,,(Group- EEI24...) - TM3Q2DDNAA5CD74JKJUOESMDUYNYRQKSHLRCYNHDJYNQQRVLMRVQ,Folks Finance : Folks Finance v2 : Deposit ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4,https://allo.info/tx/group/EEI24TaGCpVv6gmicwhdBusVnDi4AOiNRLcSKx0+ksg=
2023-04-22 10:27:26,Fee,,,,,ALGO,0.005,Group Combined Fees - EEI24TaGCpVv6gmicwhdBusVnDi4AOiNRLcSKx0+ksg=,Folks Finance : Folks Finance v2 : Deposit,Algorand Network,https://allo.info/tx/group/EEI24TaGCpVv6gmicwhdBusVnDi4AOiNRLcSKx0+ksg=
2023-04-22 10:28:14,Collateral Deposit,ALGO,90.,,,ALGO,0.003,Combined Group - H71DSsoWeIm27ttV8dVpV6IQrQaHfeUZuH+nh01F3YA=,Algofi : Lending Market v2 : Add to Collateral,Algofi,https://allo.info/tx/group/H71DSsoWeIm27ttV8dVpV6IQrQaHfeUZuH+nh01F3YA=
2023-04-23 15:08:28,Send,ALGO,1.001,,,ALGO,0.001,2QYDLKRFGBG4ITDH7FGT7Q7DE2JG6LPWIPPQTFXOLXFCKT3VO65A,Sender,TESTCHKUDKKCRXQFNVIPI7YAXCABI43343N5MHPZDSPKG365VGLNAKQ3HY,https://lora.algokit.io/mainnet/transaction/2QYDLKRFGBG4ITDH7FGT7Q7DE2JG6LPWIPPQTFXOLXFCKT3VO65A
2023-04-25 11:11:52,Collateral Withdrawal,,,ALGO,10.000002,ALGO,0.004,Combined Group - l4ayaAnr0Pu0bIip9I9d6t2zylmCcOwexjeGauKlQng=,Algofi : Lending Market v2 : Remove Collateral,Algofi,https://allo.info/tx/group/l4ayaAnr0Pu0bIip9I9d6t2zylmCcOwexjeGauKlQng=
2023-04-25 11:12:25,Send,ALGO,10.,,,ALGO,0.001,L4SOXI7TDHIXSUEAFWPFWETDYANOBF4AONZ4PNMLYGAQM2PRDJ2Q,Sender,TESTCHKUDKKCRXQFNVIPI7YAXCABI43343N5MHPZDSPKG365VGLNAKQ3HY,https://lora.algokit.io/mainnet/transaction/L4SOXI7TDHIXSUEAFWPFWETDYANOBF4AONZ4PNMLYGAQM2PRDJ2Q
