address,name,usage
4ZK3UPFRJ643ETWSWZ4YJXH3LQTL2FUEI6CIT7HEOVZL6JOECVRMPP34CY,AlgoStake,Airdrop wallet
FAUC7F2DF3UGQFX2QIR5FI5PFKPF6BPVIOSN2X47IKRLO6AMEVA6FFOGUQ,Algorand Faucet Drops,Airdrop wallet
VEC2XETCQ26HCLCIKU4AAWHADMGAKDAGUWGIMF5AUR5AP2GTNPE54NLREM,AKITA,Airdrop wallet
WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,D13,Scam Warning Bot
WQLJ42OMKFOYGEWIPMEK3P4QP63DRIOJ5ADC7L3LIOPJFPV7BG2YRSWJ4I,Vestige,Swap aggregator
RI7ECDF2VQRYEX3EGXVWVTQU5CH72Y5QRXFQ2YHP54P662TMMUMPRTJZ54,NIKO,Airdrop wallet
HZQ73COPAXHHBYAVB6C5UX4HJGULPVI2LG6NZDX6GBRKGTP4Q53XPSDZZE,Dark Coin,Rewards System
YWXUJAXOTCSHTIUFHTVP5P47VHJ4GOWTLPVOQHOPV7K3RWU5T2ZCFSOYM4,Defly,Fee Sink
AMSABKK2CKJDJRVLC2VEGZ4GHNUHYI6CDJHDOVNGDUS4KAXOVPCIVC2RS4,Tinyman,TINY Airdrop
XNFT36FUCFRR6CK675FW4BEBCCCOJ4HOSMGCN6J2W6ZMB34KM2ENTNQCP4,ALGOxNFT,Fee Wallet
